team,player,category,CAR,YDS,AVG,TD,LONG
TEN,A.J. Brown,rushing,2,10,5.0,0,7
TEN,Adrian Peterson,rushing,27,82,3.03,1,16
TEN,Cameron Batson,rushing,2,15,7.5,0,11
TEN,Chester Rogers,rushing,1,9,9.0,0,9
TEN,D'Onta Foreman,rushing,133,566,4.07,3,35
TEN,Darrynton Evans,rushing,2,7,3.5,0,5
TEN,Derrick Henry,rushing,219,937,4.31,10,76
TEN,Dontrell Hilliard,rushing,56,350,5.63,2,68
TEN,Jeremy McNichols,rushing,41,156,4.85,0,14
TEN,Khari Blasingame,rushing,3,6,2.0,0,3
TEN,Logan Woodside,rushing,6,-6,-1.0,0,-1
TEN,Marcus Johnson,rushing,2,-2,-1.0,0,5
TEN,Mekhi Sargent,rushing,2,4,2.0,0,2
TEN,Ryan Tannehill,rushing,55,270,4.76,7,28
