team,player,category,FUM,LOST
TEN,Amani Hooker,fumbles,0,0
TEN,Azeez Al-Shaair,fumbles,0,0
TEN,Chig Okonkwo,fumbles,0,0
TEN,Chris Moore,fumbles,1,0
TEN,Derrick Henry,fumbles,0,0
TEN,Elijah Molden,fumbles,0,0
TEN,Eric Garror,fumbles,2,2
TEN,Jeffery Simmons,fumbles,0,0
TEN,Kevin Byard,fumbles,0,0
TEN,Kyle Philips,fumbles,1,1
TEN,Malik Willis,fumbles,1,1
TEN,Ryan Stonehouse,fumbles,1,1
TEN,Ryan Tannehill,fumbles,4,0
TEN,Sean Murphy-Bunting,fumbles,0,0
TEN,TK McLendon Jr.,fumbles,0,0
TEN,Ty Zentner,fumbles,1,0
TEN,Tyjae Spears,fumbles,1,0
TEN,Will Levis,fumbles,7,4
