team,player,category,CAR,YDS,AVG,TD,LONG
LAC,Austin Ekeler,rushing,204,915,4.36,13,72
LAC,Chase Daniel,rushing,1,4,4.0,0,4
LAC,DeAndre Carter,rushing,2,-15,-7.5,0,-5
LAC,Gerald Everett,rushing,1,0,0.0,0,0
LAC,Isaiah Spiller,rushing,18,41,0.84,0,11
LAC,Joshua Kelley,rushing,69,287,3.73,2,22
LAC,Joshua Palmer,rushing,1,4,4.0,0,4
LAC,Justin Herbert,rushing,54,147,2.84,0,23
LAC,Keenan Allen,rushing,1,8,8.0,0,8
LAC,Larry Rountree III,rushing,13,19,1.4,0,5
LAC,Sony Michel,rushing,36,106,3.22,0,12
LAC,Zander Horvath,rushing,4,8,2.17,0,3
