team,player,category,REC,YDS,AVG,TD,LONG,TGTS
LAC,Austin Ekeler,receiving,107,722,7.06,5,23,127
LAC,DeAndre Carter,receiving,46,538,11.17,3,35,65
LAC,Donald Parham Jr.,receiving,10,130,9.32,1,24,12
LAC,Gerald Everett,receiving,58,555,9.19,4,26,87
LAC,Isaiah Spiller,receiving,3,13,3.75,0,8,3
LAC,Jalen Guyton,receiving,2,64,16.0,0,54,4
LAC,Jason Moore,receiving,1,5,5.0,0,5,2
LAC,Joshua Kelley,receiving,14,101,5.54,0,22,25
LAC,Joshua Palmer,receiving,72,769,10.44,3,50,107
LAC,Justin Herbert,receiving,2,-10,-5.0,0,-2,2
LAC,Keenan Allen,receiving,66,752,11.81,4,46,89
LAC,Larry Rountree III,receiving,2,14,7.0,0,13,2
LAC,Michael Bandy,receiving,10,89,6.24,0,25,21
LAC,Mike Williams,receiving,63,895,13.61,4,55,93
LAC,Richard Rodgers,receiving,1,4,1.33,0,4,4
LAC,Sony Michel,receiving,9,53,5.5,0,9,13
LAC,Stone Smartt,receiving,4,17,5.17,0,8,5
LAC,Tre' McKitty,receiving,10,72,5.25,0,12,18
LAC,Zander Horvath,receiving,5,8,0.83,2,5,8
