week,opponent,result
1,SF,LOSS
2,TEN,WIN
3,NE,WIN
4,DEN,LOSS
5,MIN,LOSS
6,BUF,LOSS
7,PIT,LOSS
8,NE,LOSS
9,HOU,WIN
10,ARI,LOSS
11,IND,LOSS
13,SEA,LOSS
14,MIA,LOSS
15,JAX,WIN
16,LAR,LOSS
17,BUF,LOSS
18,MIA,WIN
