team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,50.0,34,8,1,2,5,5
ATL,Younghoe Koo,kicking,100.0,27,6,2,2,0,0
BAL,Justin Tucker,kicking,100.0,47,9,2,2,3,3
BUF,Tyler Bass,kicking,100.0,42,10,3,3,1,1
CAR,Ryan Santoso,kicking,100.0,29,7,2,2,1,2
CHI,Cairo Santos,kicking,0.0,0,2,0,0,2,2
CIN,Evan McPherson,kicking,100.0,53,9,2,2,3,3
CLE,Chase McLaughlin,kicking,0.0,0,3,0,0,3,3
DAL,Greg Zuerlein,kicking,60.0,48,11,3,5,2,3
DEN,Brandon McManus,kicking,100.0,36,9,2,2,3,3
DET,Austin Seibert,kicking,50.0,49,5,1,2,2,2
GB,Mason Crosby,kicking,100.0,39,3,1,1,0,0
HOU,Joey Slye,kicking,100.0,40,13,3,3,4,4
IND,Rodrigo Blankenship,kicking,100.0,21,4,1,1,1,1
JAX,Josh Lambo,kicking,0.0,0,3,0,1,3,3
KC,Harrison Butker,kicking,100.0,43,9,2,2,3,3
LAC,Tristan Vizcaino,kicking,100.0,33,8,2,2,2,2
LAR,Matt Gay,kicking,100.0,53,10,2,2,4,4
LV,Daniel Carlson,kicking,100.0,55,9,2,2,3,3
MIA,Jason Sanders,kicking,100.0,48,5,1,1,2,2
MIN,Greg Joseph,kicking,100.0,53,6,1,1,3,3
NE,Nick Folk,kicking,100.0,42,10,3,3,1,1
NO,Aldrick Rosas,kicking,100.0,44,8,1,1,5,5
NYG,Graham Gano,kicking,0.0,0,1,0,0,1,1
PHI,Jake Elliott,kicking,100.0,43,6,1,1,3,3
PIT,Chris Boswell,kicking,100.0,45,11,3,3,2,2
SEA,Jason Myers,kicking,0.0,0,4,0,0,4,4
SF,Robbie Gould,kicking,67.0,52,11,2,3,5,5
TB,Ryan Succop,kicking,100.0,36,7,1,1,4,4
TEN,Michael Badgley,kicking,0.0,0,1,0,1,1,2
WSH,Dustin Hopkins,kicking,75.0,48,10,3,4,1,1
