team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,3,144,48.0,1,2,58
ATL,Cameron Nizialek,punting,6,279,46.5,0,2,62
BAL,Sam Koch,punting,4,179,44.8,0,1,49
BUF,Matt Haack,punting,3,137,45.7,1,2,55
CAR,Joseph Charlton,punting,6,225,37.5,0,2,54
CHI,Pat O'Donnell,punting,1,36,36.0,0,1,36
CIN,Kevin Huber,punting,7,332,47.4,1,3,61
CLE,Jamie Gillan,punting,1,52,52.0,0,0,52
DAL,Bryan Anger,punting,3,147,49.0,0,1,62
DEN,Sam Martin,punting,2,78,39.0,0,0,41
DET,Jack Fox,punting,3,152,50.7,0,1,57
GB,Corey Bojorquez,punting,4,176,44.0,0,1,59
HOU,Cameron Johnston,punting,6,266,44.3,0,3,52
IND,Rigoberto Sanchez,punting,4,187,46.8,0,1,52
JAX,Logan Cooke,punting,6,297,49.5,0,1,58
KC,Tommy Townsend,punting,2,91,45.5,0,2,47
LAC,Ty Long,punting,2,94,47.0,0,0,47
LAR,Johnny Hekker,punting,1,50,50.0,0,0,50
LV,AJ Cole,punting,6,316,52.7,0,2,67
MIA,Michael Palardy,punting,4,180,45.0,1,0,52
MIN,Jordan Berry,punting,8,402,50.3,0,1,63
NE,Jake Bailey,punting,2,99,49.5,1,0,62
NO,Blake Gillikin,punting,2,103,51.5,0,1,58
NYG,Riley Dixon,punting,3,162,54.0,1,0,61
NYJ,Braden Mann,punting,1,56,56.0,0,0,56
NYJ,Matt Ammendola,punting,6,291,48.5,0,2,65
PHI,Arryn Siposs,punting,4,189,47.3,0,3,54
PIT,Pressley Harvin III,punting,5,207,41.4,0,2,51
SEA,Michael Dickson,punting,5,185,37.0,0,4,49
SF,Mitch Wishnowsky,punting,2,76,38.0,0,2,43
TB,Bradley Pinion,punting,4,197,49.3,0,3,65
TEN,Brett Kern,punting,3,151,50.3,0,0,59
WSH,Tress Way,punting,3,138,46.0,0,2,56
