team,player,category,INT,YDS,TD
ARI,Isaiah Simmons,interceptions,1,0,0
BAL,Anthony Averett,interceptions,1,0,0
CAR,Shaq Thompson,interceptions,1,29,0
DAL,Jourdan Lewis,interceptions,1,66,0
DAL,Trevon Diggs,interceptions,1,0,0
HOU,Vernon Hargreaves III,interceptions,1,18,0
HOU,Christian Kirksey,interceptions,1,1,0
HOU,Justin Reid,interceptions,1,21,0
KC,Mike Hughes,interceptions,1,0,0
LAR,David Long Jr.,interceptions,1,0,0
NE,Jonathan Jones,interceptions,1,0,0
NO,Marcus Williams,interceptions,1,53,0
NO,Paulson Adebo,interceptions,1,33,0
SF,Dre Greenlaw,interceptions,1,39,1
TB,Carlton Davis III,interceptions,1,25,0
TEN,Kevin Byard,interceptions,1,12,0
WSH,William Jackson III,interceptions,1,0,0
