team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Kyler Murray,passing,289,9.0,4,1,2,21,32
ATL,Matt Ryan,passing,164,4.7,0,0,3,21,35
BAL,Lamar Jackson,passing,235,7.8,1,0,3,19,30
BUF,Josh Allen,passing,270,5.3,1,0,3,30,51
CAR,Sam Darnold,passing,279,8.0,1,0,1,24,35
CHI,Justin Fields,passing,10,5.0,0,0,0,2,2
CHI,Andy Dalton,passing,206,5.4,0,1,3,27,38
CIN,Joe Burrow,passing,261,9.7,2,0,5,20,27
CLE,Baker Mayfield,passing,321,11.5,0,1,2,21,28
DAL,Dak Prescott,passing,403,6.9,3,1,1,42,58
DEN,Teddy Bridgewater,passing,264,7.3,2,0,2,28,36
DET,Jared Goff,passing,338,5.9,3,1,3,38,57
GB,Jordan Love,passing,68,9.7,0,0,1,5,7
GB,Aaron Rodgers,passing,133,4.8,0,2,1,15,28
HOU,Tyrod Taylor,passing,291,8.8,2,0,1,21,33
IND,Carson Wentz,passing,251,6.6,2,0,3,25,38
JAX,Trevor Lawrence,passing,332,6.5,3,3,1,28,51
KC,Patrick Mahomes,passing,337,9.4,3,0,2,27,36
LAC,Justin Herbert,passing,337,7.2,1,1,2,31,47
LAR,Matthew Stafford,passing,321,12.3,3,0,1,20,26
LV,Derek Carr,passing,435,7.8,2,1,3,34,56
MIA,Tua Tagovailoa,passing,202,7.5,1,1,2,16,27
MIN,Justin Jefferson,passing,11,11.0,0,0,0,1,1
MIN,Kirk Cousins,passing,351,7.2,2,0,3,36,49
NE,Mac Jones,passing,281,7.2,1,0,1,29,39
NO,Jameis Winston,passing,148,7.4,5,0,0,14,20
NO,Taysom Hill,passing,3,3.0,0,0,0,1,1
NYG,Daniel Jones,passing,267,7.2,1,0,2,22,37
NYJ,Zach Wilson,passing,258,7.0,2,1,6,20,37
PHI,Jalen Hurts,passing,264,7.5,3,0,1,27,35
PIT,Ben Roethlisberger,passing,188,5.9,1,0,2,18,32
SEA,Russell Wilson,passing,254,11.0,4,0,3,18,23
SF,Trey Lance,passing,5,5.0,1,0,0,1,1
SF,Jimmy Garoppolo,passing,314,12.6,1,0,1,17,25
TB,Tom Brady,passing,379,7.6,4,2,0,32,50
TEN,Matthias Farley,passing,6,6.0,0,0,0,1,1
TEN,Ryan Tannehill,passing,212,6.1,1,1,6,21,35
WSH,Taylor Heinicke,passing,122,8.1,1,0,0,11,15
WSH,Ryan Fitzpatrick,passing,13,2.2,0,0,1,3,6
