team,player,category,CAR,YDS,AVG,TD,LONG
CHI,Chase Claypool,rushing,1,4,4.0,0,4
CHI,Cole Kmet,rushing,2,9,4.5,0,8
CHI,Dante Pettis,rushing,2,37,18.5,0,29
CHI,Darnell Mooney,rushing,1,2,2.0,0,2
CHI,Darrynton Evans,rushing,14,64,5.1,0,21
CHI,David Montgomery,rushing,201,801,3.94,5,28
CHI,Equanimeous St. Brown,rushing,6,54,7.0,0,41
CHI,Ihmir Smith-Marsette,rushing,1,-1,-1.0,0,-1
CHI,Justin Fields,rushing,160,1143,7.05,8,67
CHI,Khalil Herbert,rushing,129,731,5.59,4,63
CHI,Nathan Peterman,rushing,2,7,3.5,0,6
CHI,Tim Boyle,rushing,2,-2,-1.0,0,-1
CHI,Trestan Ebner,rushing,24,54,1.62,0,11
CHI,Trevor Siemian,rushing,4,8,2.0,0,6
CHI,Velus Jones Jr.,rushing,9,103,11.93,1,42
