team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
CHI,Cairo Santos,kicking,69.81,51,90,21,23,27,32
CHI,Michael Badgley,kicking,100.0,40,12,4,4,0,0
