team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,1,42,42.0,0,1,42
ATL,Bradley Pinion,punting,2,82,41.0,0,1,43
BAL,Jordan Stout,punting,4,191,47.8,0,0,58
BUF,Sam Martin,punting,3,140,46.7,0,1,54
CAR,Johnny Hekker,punting,5,192,38.4,0,0,49
CHI,Tory Taylor,punting,4,223,55.8,0,1,58
CIN,Ryan Rehkow,punting,2,87,43.5,0,2,46
CLE,Corey Bojorquez,punting,6,312,52.0,1,3,63
DAL,Bryan Anger,punting,5,236,47.2,2,2,55
DEN,Riley Dixon,punting,5,256,51.2,0,3,61
DET,Jack Fox,punting,2,100,50.0,0,2,61
GB,Daniel Whelan,punting,4,172,43.0,1,3,50
HOU,Tommy Townsend,punting,4,202,50.5,1,2,63
IND,Rigoberto Sanchez,punting,2,100,50.0,0,0,51
JAX,Logan Cooke,punting,4,191,47.8,0,2,64
KC,Matt Araiza,punting,5,217,43.4,0,2,54
LAC,JK Scott,punting,3,146,48.7,0,2,52
LAR,Ethan Evans,punting,3,116,38.7,0,2,45
LV,AJ Cole,punting,3,140,46.7,0,1,55
MIA,Jake Bailey,punting,3,146,48.7,0,0,53
MIN,Ryan Wright,punting,2,110,55.0,0,1,59
NE,Bryce Baringer,punting,1,38,38.0,0,0,38
NO,Matthew Hayball,punting,3,128,42.7,0,2,49
NYG,Jamie Gillan,punting,5,228,45.6,0,2,54
NYJ,Thomas Morstead,punting,4,162,40.5,1,1,51
PHI,Braden Mann,punting,6,307,51.2,0,5,58
PIT,Corliss Waitman,punting,1,38,38.0,0,1,38
SEA,Michael Dickson,punting,3,141,47.0,1,1,52
SF,Pat O'Donnell,punting,3,124,41.3,0,1,46
TB,Trenton Gill,punting,5,228,45.6,0,2,54
TEN,Ryan Stonehouse,punting,4,213,53.3,1,0,58
WSH,Tress Way,punting,1,52,52.0,0,0,52
