team,player,category,INT,YDS,TD
CAR,Chau Smith-Wade,interceptions,1,3,0
CAR,Xavier Woods,interceptions,1,33,0
CIN,Cam Taylor-Britt,interceptions,1,51,1
CLE,Greg Newsome II,interceptions,1,-2,0
CLE,Denzel Ward,interceptions,1,0,0
DAL,DeMarvion Overshown,interceptions,1,23,1
DEN,Nik Bonitto,interceptions,1,71,1
DEN,Ja'Quan McMillian,interceptions,1,44,1
DEN,Cody Barton,interceptions,1,56,0
HOU,Derek Stingley Jr.,interceptions,1,31,0
IND,Julian Blackmon,interceptions,1,17,0
LAC,Marcus Maye,interceptions,1,0,0
LAC,Derwin James Jr.,interceptions,1,2,0
LAC,Tarheeb Still,interceptions,2,66,1
MIN,Byron Murphy Jr.,interceptions,1,0,0
MIN,Shaquill Griffin,interceptions,1,0,0
NE,Christian Elliss,interceptions,1,6,0
NE,Christian Gonzalez,interceptions,1,0,0
PIT,Donte Jackson,interceptions,1,11,0
SEA,Leonard Williams,interceptions,1,92,1
TEN,Amani Hooker,interceptions,1,0,0
