team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,3,139,46.3,0,2,61
ATL,Bradley Pinion,punting,4,210,52.5,0,1,60
BAL,Jordan Stout,punting,4,210,52.5,0,2,57
BUF,Sam Martin,punting,2,73,36.5,0,1,44
CAR,Johnny Hekker,punting,3,141,47.0,0,1,52
CHI,Trenton Gill,punting,4,203,50.8,0,1,62
CIN,Kevin Huber,punting,4,147,36.8,0,1,51
CLE,Corey Bojorquez,punting,2,67,33.5,0,0,57
DAL,Bryan Anger,punting,2,142,71.0,1,0,83
DEN,Corliss Waitman,punting,6,306,51.0,0,1,54
DET,Jack Fox,punting,2,117,58.5,0,0,60
GB,Pat O'Donnell,punting,2,89,44.5,0,0,46
HOU,Cameron Johnston,punting,8,374,46.8,0,3,60
IND,Matt Haack,punting,4,227,56.8,0,3,62
JAX,Logan Cooke,punting,6,287,47.8,1,4,63
LAR,Riley Dixon,punting,5,253,50.6,0,1,58
LV,AJ Cole,punting,5,229,45.8,0,4,54
MIA,Thomas Morstead,punting,1,38,38.0,0,1,38
MIN,Ryan Wright,punting,5,233,46.6,0,2,58
NE,Jake Bailey,punting,4,163,40.8,1,2,43
NO,Blake Gillikin,punting,2,80,40.0,0,2,46
NYG,Jamie Gillan,punting,6,322,53.7,1,2,69
NYJ,Braden Mann,punting,4,188,47.0,1,0,67
PHI,Arryn Siposs,punting,4,183,45.8,0,1,49
PIT,Pressley Harvin III,punting,4,180,45.0,0,1,55
SEA,Michael Dickson,punting,6,291,48.5,1,1,57
SF,Mitch Wishnowsky,punting,3,123,41.0,0,3,49
TB,Jake Camarda,punting,5,267,53.4,1,2,66
TEN,Ryan Stonehouse,punting,5,242,48.4,1,4,57
WSH,Tress Way,punting,6,294,49.0,0,4,65
