team,player,category,INT,YDS,TD
ATL,Lorenzo Carter,interceptions,1,28,1
BUF,Matt Milano,interceptions,1,0,0
CAR,C.J. Henderson,interceptions,1,54,0
CAR,Donte Jackson,interceptions,1,0,0
CHI,Eddie Jackson,interceptions,1,21,0
CIN,Vonn Bell,interceptions,1,10,0
CLE,A.J. Green III,interceptions,1,0,0
DEN,K'Waun Williams,interceptions,1,0,0
DEN,Justin Simmons,interceptions,1,0,0
GB,Jaire Alexander,interceptions,1,3,0
GB,Rasul Douglas,interceptions,1,-1,0
HOU,Steven Nelson,interceptions,1,33,0
IND,Shaquille Leonard,interceptions,1,15,0
JAX,Tyson Campbell,interceptions,1,0,0
MIN,Cam Bynum,interceptions,1,12,0
MIN,Harrison Smith,interceptions,1,15,0
NE,Ja'Whaun Bentley,interceptions,1,7,0
NE,Devin McCourty,interceptions,2,36,0
NO,Tyrann Mathieu,interceptions,1,0,0
NYJ,Michael Carter II,interceptions,1,0,0
PHI,C.J. Gardner-Johnson,interceptions,1,14,0
TEN,Kristian Fulton,interceptions,1,0,0
