team,player,category,FUM,LOST
KC,Chad Henne,fumbles,1,0
KC,Chris Jones,fumbles,0,0
KC,Clyde Edwards-Helaire,fumbles,0,0
KC,Darius Harris,fumbles,0,0
KC,Elijah Lee,fumbles,0,0
KC,Frank Clark,fumbles,0,0
KC,George Karlaftis,fumbles,0,0
KC,Isiah Pacheco,fumbles,4,2
KC,Jerick McKinnon,fumbles,1,1
KC,Jody Fortson,fumbles,1,1
KC,JuJu Smith-Schuster,fumbles,3,2
KC,Kadarius Toney,fumbles,1,1
KC,L'Jarius Sneed,fumbles,0,0
KC,Malik Herring,fumbles,0,0
KC,Mecole Hardman Jr.,fumbles,1,0
KC,Patrick Mahomes,fumbles,5,0
KC,Skyy Moore,fumbles,3,3
KC,Travis Kelce,fumbles,1,1
KC,Willie Gay Jr.,fumbles,0,0
