team,player,category,INT,YDS,TD
ARI,Denzel Burke,interceptions,1,16,0
ATL,C.J. Henderson,interceptions,1,0,0
BAL,Marlon Humphrey,interceptions,1,0,0
BUF,Jordan Poyer,interceptions,1,10,0
BUF,DaQuan Jones,interceptions,1,1,0
CAR,Lathan Ransom,interceptions,1,5,0
CIN,Barrett Carter,interceptions,1,16,0
CIN,Jalen Davis,interceptions,1,0,0
HOU,Derek Stingley Jr.,interceptions,1,31,1
IND,Cam Bynum,interceptions,1,8,0
JAX,Jarrian Jones,interceptions,1,0,0
LAR,Josh Wallace,interceptions,1,56,0
LAR,Kobie Turner,interceptions,1,10,0
MIN,Byron Murphy Jr.,interceptions,1,15,0
NO,Jonas Sanker,interceptions,1,29,0
NYG,Paulson Adebo,interceptions,1,0,0
PHI,Cooper DeJean,interceptions,1,11,0
SF,Dee Winters,interceptions,1,74,1
