team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Matt Haack,punting,1,51,51.0,0,0,51
BAL,Jordan Stout,punting,2,84,42.0,0,1,45
BUF,Mitch Wishnowsky,punting,3,149,49.7,1,0,62
CAR,Sam Martin,punting,3,136,45.3,0,2,49
CHI,Tory Taylor,punting,3,125,41.7,0,2,43
CIN,Ryan Rehkow,punting,4,208,52.0,0,4,59
CLE,Corey Bojorquez,punting,2,103,51.5,0,1,52
DAL,Bryan Anger,punting,1,42,42.0,0,1,42
DEN,Jeremy Crawshaw,punting,3,132,44.0,1,1,53
DET,Jack Fox,punting,3,159,53.0,0,0,54
HOU,Tommy Townsend,punting,5,258,51.6,0,1,57
IND,Rigoberto Sanchez,punting,2,101,50.5,0,1,54
JAX,Logan Cooke,punting,6,312,52.0,1,4,63
KC,Matt Araiza,punting,5,219,43.8,0,1,54
LAC,JK Scott,punting,1,55,55.0,0,1,55
LAR,Ethan Evans,punting,4,155,38.8,0,1,44
LV,AJ Cole,punting,7,293,41.9,0,3,52
MIA,Jake Bailey,punting,4,201,50.3,1,2,62
MIN,Ryan Wright,punting,1,29,29.0,0,0,29
NE,Bryce Baringer,punting,1,49,49.0,0,0,49
NO,Kai Kroeger,punting,1,46,46.0,0,0,46
NYG,Jamie Gillan,punting,2,91,45.5,0,0,51
NYJ,Austin McNamara,punting,5,231,46.2,0,3,55
PHI,Braden Mann,punting,2,87,43.5,0,1,49
PIT,Corliss Waitman,punting,3,150,50.0,0,1,54
SEA,Michael Dickson,punting,5,240,48.0,0,3,57
TB,Riley Dixon,punting,3,134,44.7,0,1,47
TEN,Johnny Hekker,punting,3,143,47.7,0,2,53
WSH,Tress Way,punting,5,220,44.0,1,2,56
