team,player,category,FUM,LOST
DEN,Alex Singleton,fumbles,0,0
DEN,Courtland Sutton,fumbles,3,3
DEN,D.J. Jones,fumbles,0,0
DEN,Drew Sanders,fumbles,0,0
DEN,Ja'Quan McMillian,fumbles,0,0
DEN,Jarrett Stidham,fumbles,1,0
DEN,Javonte Williams,fumbles,1,1
DEN,Jerry Jeudy,fumbles,1,0
DEN,Jonathon Cooper,fumbles,0,0
DEN,Josey Jewell,fumbles,0,0
DEN,Justin Simmons,fumbles,0,0
DEN,Marvin Mims Jr.,fumbles,2,2
DEN,Mike Purcell,fumbles,0,0
DEN,Quinn Meinerz,fumbles,0,0
DEN,Russell Wilson,fumbles,10,5
DEN,Samaje Perine,fumbles,3,2
DEN,Tremon Smith,fumbles,0,0
