team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Pat O'Donnell,punting,3,122,40.7,0,0,46
ATL,Bradley Pinion,punting,5,255,51.0,0,2,55
BAL,Jordan Stout,punting,4,176,44.0,1,2,52
BUF,Mitch Wishnowsky,punting,2,83,41.5,0,1,51
CAR,Sam Martin,punting,3,140,46.7,0,2,50
CHI,Tory Taylor,punting,6,286,47.7,0,2,57
CIN,Ryan Rehkow,punting,3,171,57.0,1,1,61
CLE,Corey Bojorquez,punting,6,299,49.8,1,1,63
DAL,Bryan Anger,punting,2,93,46.5,0,1,49
DEN,Jeremy Crawshaw,punting,4,211,52.8,0,3,58
DET,Jack Fox,punting,4,169,42.3,0,2,55
GB,Daniel Whelan,punting,4,195,48.8,0,2,61
HOU,Tommy Townsend,punting,5,208,41.6,1,4,51
KC,Matt Araiza,punting,4,238,59.5,0,0,66
LAC,JK Scott,punting,4,195,48.8,0,2,57
LAR,Ethan Evans,punting,6,253,42.2,0,4,52
LV,AJ Cole,punting,3,160,53.3,1,1,64
MIA,Jake Bailey,punting,2,106,53.0,0,1,55
MIN,Ryan Wright,punting,6,297,49.5,1,2,61
NE,Bryce Baringer,punting,3,153,51.0,0,2,56
NYG,Jamie Gillan,punting,2,90,45.0,0,0,46
NYJ,Austin McNamara,punting,5,227,45.4,1,2,64
PHI,Braden Mann,punting,7,289,41.3,0,4,48
PIT,Corliss Waitman,punting,3,133,44.3,0,2,47
SEA,Michael Dickson,punting,2,103,51.5,0,1,55
SF,Thomas Morstead,punting,3,139,46.3,0,1,55
TB,Riley Dixon,punting,4,161,40.3,0,3,46
TEN,Johnny Hekker,punting,6,305,50.8,0,1,62
WSH,Tress Way,punting,1,41,41.0,0,0,41
