team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Jacoby Brissett,passing,452,7.9,2,2,0,47,57
ATL,Michael Penix Jr.,passing,175,10.9,0,0,0,13,16
ATL,Kirk Cousins,passing,48,3.4,0,0,0,6,14
BAL,Lamar Jackson,passing,193,7.7,0,2,5,14,25
BUF,Josh Allen,passing,317,10.6,3,2,0,19,30
CAR,Bryce Young,passing,448,10.0,3,0,5,31,45
CHI,Caleb Williams,passing,193,6.0,0,0,2,16,32
CIN,Joe Flacco,passing,199,5.0,1,1,1,23,40
CLE,Shedeur Sanders,passing,47,2.9,0,1,2,4,16
CLE,Dillon Gabriel,passing,68,6.8,0,0,1,7,10
DAL,Dak Prescott,passing,268,8.1,4,0,1,25,33
DEN,RJ Harvey,passing,0,0.0,0,0,0,0,1
DEN,Bo Nix,passing,295,8.0,0,0,2,24,37
DET,Jared Goff,passing,255,6.9,1,1,2,14,37
GB,Jordan Love,passing,174,7.3,2,0,2,13,24
GB,Malik Willis,passing,6,3.0,1,0,0,2,2
HOU,Davis Mills,passing,274,6.7,1,0,4,26,41
JAX,Trevor Lawrence,passing,153,7.0,1,1,0,14,22
KC,Patrick Mahomes,passing,276,6.1,1,1,3,29,45
LAC,Justin Herbert,passing,81,4.5,0,1,2,10,18
LAC,Trey Lance,passing,37,4.6,0,0,1,3,8
LAR,Matthew Stafford,passing,130,4.6,2,0,0,15,28
LV,Geno Smith,passing,238,5.7,1,1,4,27,42
MIA,Tua Tagovailoa,passing,171,8.6,0,0,3,14,20
MIN,J.J. McCarthy,passing,150,4.7,1,2,0,16,32
NE,Drake Maye,passing,281,8.3,1,0,1,25,34
NYG,Jameis Winston,passing,201,6.9,0,1,2,19,29
NYJ,Justin Fields,passing,116,4.5,1,0,2,15,26
NYJ,Isaiah Williams,passing,0,0.0,0,0,0,0,1
PHI,Jalen Hurts,passing,135,4.8,0,0,1,14,28
PIT,Aaron Rodgers,passing,116,7.7,1,0,1,9,15
PIT,Mason Rudolph,passing,127,7.9,1,0,0,12,16
SEA,Sam Darnold,passing,279,6.3,0,4,0,29,44
SF,Brock Purdy,passing,200,7.7,3,0,1,19,26
TB,Baker Mayfield,passing,173,6.2,1,1,1,16,28
TEN,Cam Ward,passing,194,5.2,1,0,3,24,37
WSH,Marcus Mariota,passing,213,7.1,1,1,1,20,30
