team,player,category,INT,YDS,TD
BAL,Nate Wiggins,interceptions,1,14,0
BUF,Cole Bishop,interceptions,1,12,0
CHI,Kevin Byard,interceptions,1,23,0
CHI,Nahshon Wright,interceptions,1,0,0
CLE,Carson Schwesinger,interceptions,1,9,0
CLE,Devin Bush,interceptions,1,23,1
DAL,Markquese Bell,interceptions,1,24,0
DEN,Ja'Quan McMillian,interceptions,1,16,0
GB,Evan Williams,interceptions,1,0,0
JAX,Antonio Johnson,interceptions,1,44,0
LAC,Donte Jackson,interceptions,1,0,0
LAR,Cobie Durant,interceptions,1,10,0
LAR,Kamren Kinchens,interceptions,2,53,0
LAR,Darious Williams,interceptions,1,18,0
MIA,Jack Jones,interceptions,1,7,0
PHI,Cooper DeJean,interceptions,1,21,0
PIT,Kyle Dugger,interceptions,1,73,1
SF,Deommodore Lenoir,interceptions,1,64,0
SF,Malik Mustapha,interceptions,1,0,0
TB,SirVocea Dennis,interceptions,1,0,0
TB,Jacob Parrish,interceptions,1,3,0
