team,player,category,INT,YDS,TD
ARI,Budda Baker,interceptions,1,7,0
CAR,Stephon Gilmore,interceptions,1,13,0
CLE,Denzel Ward,interceptions,1,99,1
CLE,John Johnson III,interceptions,1,31,0
DEN,Caden Sterns,interceptions,1,1,0
HOU,Eric Murray,interceptions,1,0,0
HOU,Maliek Collins,interceptions,1,0,0
IND,Bobby Okereke,interceptions,1,4,0
JAX,Rudy Ford,interceptions,1,8,0
JAX,Josh Hines-Allen,interceptions,1,11,0
KC,L'Jarius Sneed,interceptions,1,0,0
LAR,Jalen Ramsey,interceptions,1,6,0
MIA,Jevon Holland,interceptions,1,0,0
MIA,Jerome Baker,interceptions,1,0,0
MIA,Justin Coleman,interceptions,1,0,0
MIN,Cam Bynum,interceptions,1,27,0
MIN,Anthony Barr,interceptions,1,0,0
NE,Jamie Collins Sr.,interceptions,1,1,0
NE,J.C. Jackson,interceptions,2,88,1
NYG,Xavier McKinney,interceptions,2,41,1
PIT,Cameron Heyward,interceptions,1,0,0
TEN,Kevin Byard,interceptions,1,24,1
TEN,David Long Jr.,interceptions,1,6,0
