team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Colt McCoy,passing,249,9.6,1,0,2,22,26
ARI,Christian Kirk,passing,33,33.0,0,0,0,1,1
ATL,Matt Ryan,passing,343,11.4,2,0,2,23,30
BAL,Lamar Jackson,passing,266,6.5,3,2,3,27,41
BUF,Josh Allen,passing,264,5.6,0,2,4,31,47
CAR,Sam Darnold,passing,172,5.2,0,3,1,16,33
CHI,Justin Fields,passing,291,10.0,1,1,3,17,29
CIN,Joe Burrow,passing,282,7.1,0,2,5,28,40
CIN,Brandon Allen,passing,6,3.0,0,0,0,1,2
CLE,Baker Mayfield,passing,218,10.4,2,0,2,14,21
DAL,Dak Prescott,passing,232,5.9,2,1,2,19,39
DEN,Teddy Bridgewater,passing,249,8.9,1,0,4,19,28
GB,Jordan Love,passing,190,5.6,1,1,1,19,34
HOU,Tyrod Taylor,passing,240,5.6,0,3,5,24,43
HOU,Danny Amendola,passing,0,0.0,0,0,0,0,1
IND,Carson Wentz,passing,272,9.1,3,0,1,22,30
JAX,C.J. Beathard,passing,33,16.5,0,0,0,2,2
JAX,Trevor Lawrence,passing,118,4.5,0,0,2,15,26
KC,Patrick Mahomes,passing,166,4.5,1,0,1,20,37
LAC,Justin Herbert,passing,356,9.4,2,0,0,32,38
LAR,Matthew Stafford,passing,294,6.1,1,2,5,31,48
LV,Derek Carr,passing,296,6.4,1,2,1,30,46
MIA,Jacoby Brissett,passing,244,5.7,1,2,4,26,43
MIN,Kirk Cousins,passing,187,6.7,2,0,0,17,28
NE,Mac Jones,passing,139,7.7,1,1,2,12,18
NO,Taysom Hill,passing,33,16.5,0,0,0,2,2
NO,Trevor Siemian,passing,249,6.1,2,0,1,25,41
NYG,Daniel Jones,passing,110,5.5,1,0,2,15,20
NYG,Kadarius Toney,passing,0,0.0,0,0,1,0,0
NYJ,Josh Johnson,passing,317,7.7,3,1,2,27,41
NYJ,Mike White,passing,95,8.6,1,0,0,7,11
PHI,Jalen Hurts,passing,162,9.5,1,0,1,11,17
PIT,Ben Roethlisberger,passing,205,6.8,2,0,4,21,30
SF,Jimmy Garoppolo,passing,326,8.2,2,1,5,28,40
TEN,Ryan Tannehill,passing,143,5.3,1,1,3,19,27
