team,player,category,CAR,YDS,AVG,TD,LONG
ARI,James Conner,rushing,21,96,4.6,2,35
ARI,Chris Streveler,rushing,1,2,2.0,0,2
ARI,Eno Benjamin,rushing,9,39,4.3,1,21
ARI,Colt McCoy,rushing,7,23,3.3,0,8
ARI,Chase Edmonds,rushing,1,3,3.0,0,3
ATL,Feleipe Franks,rushing,2,3,1.5,0,4
ATL,Matt Ryan,rushing,5,8,1.6,1,5
ATL,Cordarrelle Patterson,rushing,9,10,1.1,0,4
ATL,Mike Davis,rushing,9,13,1.4,0,5
BAL,Le'Veon Bell,rushing,11,48,4.4,1,12
BAL,Devonta Freeman,rushing,13,79,6.1,0,19
BAL,Lamar Jackson,rushing,21,120,5.7,0,12
BUF,Zack Moss,rushing,3,6,2.0,0,7
BUF,Devin Singletary,rushing,6,16,2.7,0,5
BUF,Josh Allen,rushing,5,50,10.0,0,22
CAR,Ameer Abdullah,rushing,1,0,0.0,0,0
CAR,Chuba Hubbard,rushing,3,3,1.0,0,3
CAR,Sam Darnold,rushing,3,9,3.0,0,4
CAR,DJ Moore,rushing,2,14,7.0,0,10
CAR,Christian McCaffrey,rushing,14,52,3.7,0,10
CHI,Khalil Herbert,rushing,4,13,3.3,0,8
CHI,Justin Fields,rushing,8,45,5.6,0,8
CHI,Darnell Mooney,rushing,1,15,15.0,1,15
CHI,David Montgomery,rushing,13,63,4.8,0,21
CIN,Samaje Perine,rushing,5,20,4.0,0,9
CIN,Joe Mixon,rushing,13,64,4.9,2,21
CIN,Joe Burrow,rushing,2,1,0.5,0,1
CIN,Brandon Allen,rushing,1,0,0.0,0,0
CIN,Ja'Marr Chase,rushing,2,0,0.0,0,0
CLE,Jarvis Landry,rushing,1,0,0.0,0,0
CLE,D'Ernest Johnson,rushing,8,16,2.0,0,7
CLE,Nick Chubb,rushing,14,137,9.8,2,70
DAL,Ezekiel Elliott,rushing,10,51,5.1,0,11
DAL,Dak Prescott,rushing,2,16,8.0,0,9
DAL,Tony Pollard,rushing,4,11,2.8,0,8
DEN,Javonte Williams,rushing,17,111,6.5,0,30
DEN,Melvin Gordon III,rushing,21,80,3.8,1,14
DEN,Teddy Bridgewater,rushing,3,-1,-0.3,1,1
GB,Aaron Jones Sr.,rushing,12,53,4.4,0,9
GB,AJ Dillon,rushing,8,46,5.8,0,15
GB,Jordan Love,rushing,5,23,4.6,0,8
HOU,Rex Burkhead,rushing,2,9,4.5,0,8
HOU,Phillip Lindsay,rushing,8,28,3.5,0,9
HOU,Scottie Phillips,rushing,1,2,2.0,0,2
HOU,Tyrod Taylor,rushing,3,23,7.7,0,10
HOU,David Johnson,rushing,4,11,2.8,0,4
IND,Sam Ehlinger,rushing,1,1,1.0,0,1
IND,Carson Wentz,rushing,4,13,3.3,0,9
IND,Nyheim Hines,rushing,6,74,12.3,1,34
IND,Jonathan Taylor,rushing,19,172,9.1,2,78
JAX,Laviska Shenault Jr.,rushing,1,-4,-4.0,0,-4
JAX,Dare Ogunbowale,rushing,1,1,1.0,0,1
JAX,Trevor Lawrence,rushing,3,4,1.3,0,3
JAX,Jamal Agnew,rushing,1,11,11.0,0,11
JAX,Carlos Hyde,rushing,21,67,3.2,0,15
KC,Tyreek Hill,rushing,1,-4,-4.0,0,-4
KC,Derrick Gore,rushing,3,13,4.3,0,7
KC,Darrel Williams,rushing,19,70,3.7,0,11
KC,Patrick Mahomes,rushing,2,-2,-1.0,0,-1
LAC,Austin Ekeler,rushing,17,59,3.5,0,16
LAC,Justin Herbert,rushing,5,14,2.8,1,8
LAC,Andre Roberts,rushing,1,9,9.0,0,9
LAC,Joshua Kelley,rushing,3,6,2.0,0,3
LAC,Larry Rountree III,rushing,1,1,1.0,0,1
LAR,Sony Michel,rushing,7,20,2.9,0,8
LAR,Matthew Stafford,rushing,2,13,6.5,0,12
LAR,Robert Woods,rushing,1,6,6.0,0,6
LAR,Darrell Henderson Jr.,rushing,11,55,5.0,0,14
LV,Josh Jacobs,rushing,13,76,5.8,0,14
LV,Kenyan Drake,rushing,4,30,7.5,0,21
LV,Marcus Mariota,rushing,1,6,6.0,0,6
LV,Derek Carr,rushing,2,5,2.5,0,4
MIA,Myles Gaskin,rushing,20,34,1.7,1,6
MIA,Jacoby Brissett,rushing,1,7,7.0,0,7
MIA,Salvon Ahmed,rushing,4,6,1.5,0,2
MIN,Alexander Mattison,rushing,4,0,0.0,0,2
MIN,Kene Nwangwu,rushing,1,9,9.0,0,9
MIN,Justin Jefferson,rushing,1,11,11.0,0,11
MIN,Dalvin Cook,rushing,17,110,6.5,0,66
MIN,Kirk Cousins,rushing,1,1,1.0,1,1
NE,Brandon Bolden,rushing,8,54,6.8,0,16
NE,Rhamondre Stevenson,rushing,10,62,6.2,0,13
NE,Damien Harris,rushing,15,30,2.0,1,8
NE,Jonnu Smith,rushing,1,4,4.0,0,4
NE,Mac Jones,rushing,2,4,2.0,0,2
NE,Brian Hoyer,rushing,3,-3,-1.0,0,-1
NO,Taysom Hill,rushing,1,4,4.0,0,4
NO,Alex Armah,rushing,2,12,6.0,0,9
NO,Mark Ingram II,rushing,9,43,4.8,0,11
NO,Alvin Kamara,rushing,13,50,3.8,1,14
NYG,Daniel Jones,rushing,4,17,4.3,0,8
NYG,Kadarius Toney,rushing,1,-2,-2.0,0,-2
NYG,Elijhaa Penny,rushing,5,35,7.0,0,12
NYG,Devontae Booker,rushing,21,99,4.7,0,20
NYJ,Michael Carter,rushing,13,49,3.8,0,16
NYJ,Ty Johnson,rushing,4,21,5.3,0,9
NYJ,Josh Johnson,rushing,4,18,4.5,0,11
PHI,Boston Scott,rushing,10,40,4.0,0,10
PHI,Jordan Howard,rushing,17,71,4.2,1,18
PHI,Kenny Gainwell,rushing,2,3,1.5,1,2
PHI,Jalen Hurts,rushing,10,62,6.2,0,12
PIT,Diontae Johnson,rushing,2,11,5.5,0,11
PIT,Chase Claypool,rushing,2,13,6.5,0,11
PIT,James Washington,rushing,2,13,6.5,0,12
PIT,Najee Harris,rushing,22,62,2.8,1,13
PIT,Benny Snell Jr.,rushing,2,6,3.0,0,5
PIT,Ben Roethlisberger,rushing,2,0,0.0,0,1
SF,Elijah Mitchell,rushing,8,36,4.5,0,14
SF,Brandon Aiyuk,rushing,1,-2,-2.0,0,-2
SF,Jimmy Garoppolo,rushing,1,3,3.0,0,3
SF,JaMycal Hasty,rushing,1,2,2.0,0,2
TEN,Marcus Johnson,rushing,1,-7,-7.0,0,-7
TEN,Logan Woodside,rushing,1,-1,-1.0,0,-1
TEN,Ryan Tannehill,rushing,2,3,1.5,1,2
TEN,Adrian Peterson,rushing,10,21,2.1,1,6
TEN,Jeremy McNichols,rushing,7,24,3.4,0,14
TEN,D'Onta Foreman,rushing,5,29,5.8,0,11
