team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,4,207,51.8,1,1,53
ATL,Dustin Colquitt,punting,5,224,44.8,0,1,52
BAL,Sam Koch,punting,3,125,41.7,0,1,51
BUF,Matt Haack,punting,3,148,49.3,1,0,59
CAR,Lachlan Edwards,punting,4,205,51.3,0,0,59
CHI,Pat O'Donnell,punting,5,234,46.8,0,2,57
CIN,Kevin Huber,punting,3,122,40.7,0,1,44
CLE,Jamie Gillan,punting,3,118,39.3,0,1,48
DAL,Bryan Anger,punting,4,194,48.5,2,1,55
DEN,Sam Martin,punting,3,94,31.3,0,0,51
GB,Corey Bojorquez,punting,4,217,54.3,1,1,63
HOU,Cameron Johnston,punting,5,235,47.0,0,3,58
IND,Rigoberto Sanchez,punting,2,85,42.5,0,1,47
JAX,Logan Cooke,punting,4,180,45.0,0,1,53
KC,Tommy Townsend,punting,6,341,56.8,0,5,64
LAR,Johnny Hekker,punting,4,199,49.8,1,0,57
LV,AJ Cole,punting,2,100,50.0,0,0,58
MIA,Michael Palardy,punting,5,207,41.4,0,3,50
MIN,Jordan Berry,punting,5,242,48.4,1,2,54
NE,Jake Bailey,punting,3,152,50.7,1,2,55
NO,Blake Gillikin,punting,3,122,40.7,1,1,45
NYG,Riley Dixon,punting,3,146,48.7,0,3,58
NYJ,Thomas Morstead,punting,3,156,52.0,0,1,57
PHI,Arryn Siposs,punting,3,130,43.3,0,1,44
PIT,Pressley Harvin III,punting,5,196,39.2,1,2,46
SF,Mitch Wishnowsky,punting,4,163,40.8,0,2,57
TEN,Brett Kern,punting,5,217,43.4,0,3,57
