team,player,category,YDS,AVG,TD,INT,SACKS,QBR,RTG,COMP,ATT
CAR,Andy Dalton,passing,989,5.1,7,6,0.0,38.65,71.73,106,160
CAR,Bryce Young,passing,2403,5.77,15,9,0.0,46.35,81.81,234,384
CAR,Jalen Coker,passing,19,19.0,0,0,0.0,99.5,118.8,1,1
CAR,Johnny Hekker,passing,0,0.0,0,0,0.0,,39.6,0,2
