team,player,category,NO,YDS,AVG,TB,In 20,LONG
ATL,Bradley Pinion,punting,4,180,45.0,0,2,49
BAL,Jordan Stout,punting,4,191,47.8,0,2,51
BUF,Sam Martin,punting,4,186,46.5,0,1,61
CAR,Johnny Hekker,punting,2,86,43.0,0,0,49
CHI,Trenton Gill,punting,3,129,43.0,0,1,53
CIN,Brad Robbins,punting,4,147,36.8,0,1,52
CLE,Corey Bojorquez,punting,8,412,51.5,1,3,72
DAL,Bryan Anger,punting,1,48,48.0,0,0,48
DEN,Riley Dixon,punting,7,313,44.7,0,5,56
DET,Jack Fox,punting,4,207,51.8,0,1,58
GB,Daniel Whelan,punting,3,119,39.7,0,1,48
HOU,Cameron Johnston,punting,8,405,50.6,0,2,65
IND,Rigoberto Sanchez,punting,4,194,48.5,0,2,55
JAX,Logan Cooke,punting,7,321,45.9,0,2,57
KC,Tommy Townsend,punting,4,160,40.0,0,1,46
LAC,JK Scott,punting,5,287,57.4,1,2,83
LAR,Ethan Evans,punting,6,311,51.8,1,1,59
LV,AJ Cole,punting,8,433,54.1,2,2,83
MIA,Jake Bailey,punting,5,235,47.0,0,2,56
MIN,Ryan Wright,punting,8,383,47.9,0,4,59
MIN,Greg Joseph,punting,1,14,14.0,0,0,14
NE,Bryce Baringer,punting,9,395,43.9,2,3,66
NO,Lou Hedley,punting,5,200,40.0,0,3,46
NYG,Jamie Gillan,punting,4,164,41.0,0,3,50
NYJ,Thomas Morstead,punting,5,238,47.6,1,3,61
PHI,Braden Mann,punting,1,39,39.0,0,0,39
PIT,Pressley Harvin III,punting,6,267,44.5,1,1,53
SEA,Michael Dickson,punting,6,311,51.8,1,3,62
SF,Mitch Wishnowsky,punting,5,246,49.2,1,2,56
TB,Jake Camarda,punting,6,325,54.2,0,2,63
TEN,Ty Zentner,punting,5,244,48.8,1,2,53
