team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ATL,Younghoe Koo,kicking,33.0,20,5,1,3,2,2
BAL,Justin Tucker,kicking,100.0,47,11,3,3,2,2
BUF,Tyler Bass,kicking,100.0,39,8,2,2,2,2
CAR,Eddy Pineiro,kicking,67.0,47,6,2,3,0,0
CHI,Cairo Santos,kicking,100.0,46,10,3,3,1,2
CIN,Evan McPherson,kicking,100.0,35,10,2,2,4,4
CLE,Dustin Hopkins,kicking,100.0,55,7,1,1,4,4
DAL,Brandon Aubrey,kicking,100.0,60,15,4,4,3,3
DEN,Wil Lutz,kicking,100.0,23,6,1,1,3,3
DET,Riley Patterson,kicking,0.0,0,1,0,0,1,2
GB,Anders Carlson,kicking,75.0,48,10,3,4,1,1
HOU,Matt Ammendola,kicking,0.0,0,0,0,0,0,1
IND,Matt Gay,kicking,0.0,0,0,0,1,0,1
JAX,Brandon McManus,kicking,0.0,0,3,0,0,3,3
KC,Harrison Butker,kicking,100.0,27,5,1,1,2,2
LAC,Cameron Dicker,kicking,0.0,0,1,0,0,1,1
LAR,Lucas Havrisik,kicking,100.0,51,11,3,3,2,2
MIA,Jason Sanders,kicking,67.0,31,9,2,3,3,3
MIN,Greg Joseph,kicking,50.0,36,3,1,2,0,0
NE,Chad Ryland,kicking,0.0,0,3,0,0,3,3
NO,Blake Grupe,kicking,0.0,0,4,0,1,4,4
NYG,Randy Bullock,kicking,50.0,37,6,1,2,3,3
NYJ,Greg Zuerlein,kicking,100.0,55,12,3,3,3,3
PHI,Jake Elliott,kicking,100.0,52,7,2,2,1,1
PIT,Chris Boswell,kicking,100.0,56,4,1,1,1,1
SEA,Jason Myers,kicking,100.0,40,4,1,1,1,1
SF,Jake Moody,kicking,0.0,0,4,0,0,4,4
TB,Chase McLaughlin,kicking,100.0,55,9,2,2,3,3
TEN,Nick Folk,kicking,100.0,28,8,2,2,2,2
