team,player,category,CAR,YDS,AVG,TD,LONG
KC,Carson Steele,rushing,56,183,2.82,0,9
KC,Carson Wentz,rushing,3,0,0.0,0,2
KC,Chris Oladokun,rushing,1,5,5.0,0,5
KC,Isiah Pacheco,rushing,83,310,3.76,1,34
KC,Jaden Hicks,rushing,1,1,1.0,0,1
KC,Kareem Hunt,rushing,200,728,3.54,7,20
KC,Mecole Hardman Jr.,rushing,5,62,11.83,1,20
KC,Noah Gray,rushing,1,-4,-4.0,0,-4
KC,Patrick Mahomes,rushing,58,307,5.53,2,33
KC,Rashee Rice,rushing,1,1,1.0,0,1
KC,Samaje Perine,rushing,20,92,5.83,1,13
KC,Travis Kelce,rushing,1,1,1.0,0,1
KC,Xavier Worthy,rushing,20,104,5.72,3,21
