team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
KC,Harrison Butker,kicking,71.54,53,92,21,25,29,31
KC,Matthew Wright,kicking,90.0,50,26,8,9,2,2
KC,Spencer Shrader,kicking,50.0,41,15,3,3,6,6
