team,player,category,NO,YDS,AVG,TB,In 20,LONG
ATL,Thomas Morstead,punting,5,224,44.8,1,3,55
BAL,Sam Koch,punting,3,136,45.3,1,1,53
BUF,Matt Haack,punting,3,127,42.3,0,2,48
CAR,Lachlan Edwards,punting,5,261,52.2,1,0,58
CHI,Pat O'Donnell,punting,4,183,45.8,0,2,51
CIN,Kevin Huber,punting,3,139,46.3,0,1,53
CLE,Jamie Gillan,punting,6,261,43.5,0,2,52
DAL,Bryan Anger,punting,7,385,55.0,0,2,60
DEN,Sam Martin,punting,3,125,41.7,0,2,43
DET,Jack Fox,punting,6,300,50.0,1,0,70
GB,Corey Bojorquez,punting,5,212,42.4,0,3,61
HOU,Cameron Johnston,punting,5,236,47.2,0,2,56
IND,Rigoberto Sanchez,punting,3,134,44.7,0,2,47
JAX,Logan Cooke,punting,3,130,43.3,0,2,44
LAC,Ty Long,punting,3,136,45.3,0,0,48
LAR,Johnny Hekker,punting,5,205,41.0,0,1,53
LV,AJ Cole,punting,5,243,48.6,0,4,68
MIA,Michael Palardy,punting,4,162,40.5,0,4,46
MIN,Jordan Berry,punting,3,160,53.3,0,1,59
NE,Jake Bailey,punting,1,48,48.0,0,1,48
NO,Blake Gillikin,punting,5,235,47.0,0,0,53
NYG,Riley Dixon,punting,5,196,39.2,0,1,46
NYJ,Braden Mann,punting,4,156,39.0,1,0,44
PHI,Arryn Siposs,punting,3,130,43.3,0,2,46
PIT,Pressley Harvin III,punting,5,190,38.0,0,2,42
SEA,Michael Dickson,punting,8,400,50.0,0,3,55
SF,Mitch Wishnowsky,punting,3,183,61.0,2,1,67
TB,Bradley Pinion,punting,4,164,41.0,0,1,55
TEN,Brett Kern,punting,2,95,47.5,0,0,48
WSH,Tress Way,punting,5,218,43.6,0,3,53
