team,player,category,FUM,LOST
ATL,Marlon Davidson,fumbles,0,0
BAL,Odafe Oweh,fumbles,0,0
BAL,Patrick Queen,fumbles,0,0
BUF,Marquez Stevenson,fumbles,1,0
CAR,Frankie Luvu,fumbles,0,0
CHI,Trevis Gipson,fumbles,0,0
CHI,Andy Dalton,fumbles,0,0
CHI,Sam Mustipher,fumbles,1,0
CIN,Sam Hubbard,fumbles,0,0
CLE,Baker Mayfield,fumbles,1,1
CLE,Jarvis Landry,fumbles,1,1
DEN,Tim Patrick,fumbles,0,0
DEN,Drew Lock,fumbles,1,0
DET,Jerry Jacobs,fumbles,1,0
DET,Jared Goff,fumbles,1,1
DET,D'Andre Swift,fumbles,1,0
GB,Yosh Nijman,fumbles,0,0
GB,Krys Barnes,fumbles,0,0
GB,Randall Cobb,fumbles,1,1
GB,Marcedes Lewis,fumbles,1,0
GB,Preston Smith,fumbles,1,0
HOU,Tyrod Taylor,fumbles,1,0
IND,Nyheim Hines,fumbles,1,1
IND,Zach Pascal,fumbles,1,1
IND,Carson Wentz,fumbles,1,1
IND,Andrew Sendejo,fumbles,0,0
JAX,Jaydon Mickens,fumbles,1,0
JAX,Trevor Lawrence,fumbles,1,0
JAX,James Robinson,fumbles,1,1
JAX,Chris Claybrooks,fumbles,0,0
JAX,Chris Manhertz,fumbles,0,0
LAR,Robert Rochell,fumbles,0,0
LAR,J.J. Koski,fumbles,1,1
LAR,Matthew Stafford,fumbles,1,1
LV,John Simpson,fumbles,0,0
LV,Derek Carr,fumbles,1,0
MIA,Jesse Davis,fumbles,0,0
MIA,Jevon Holland,fumbles,1,0
MIA,Austin Reiter,fumbles,1,1
MIA,Tua Tagovailoa,fumbles,2,0
MIN,Tyler Conklin,fumbles,1,0
MIN,Dalvin Cook,fumbles,1,1
NE,Jahlani Tavai,fumbles,0,0
NE,Kyle Dugger,fumbles,0,0
NE,Jalen Mills,fumbles,0,0
NYG,Julian Love,fumbles,0,0
NYG,Tae Crowder,fumbles,1,0
NYJ,Zach Wilson,fumbles,1,0
PHI,Boston Scott,fumbles,1,1
PIT,Ben Roethlisberger,fumbles,2,1
SEA,Alex Collins,fumbles,1,1
SF,Azeez Al-Shaair,fumbles,0,0
TB,Chris Godwin Jr.,fumbles,1,1
TB,Scotty Miller,fumbles,0,0
TB,Lavonte David,fumbles,0,0
TB,Shaquil Barrett,fumbles,0,0
TEN,D'Onta Foreman,fumbles,1,1
TEN,Dontrell Hilliard,fumbles,1,1
TEN,Ryan Tannehill,fumbles,1,0
TEN,Anthony Firkser,fumbles,1,0
TEN,Taylor Lewan,fumbles,0,0
TEN,Khari Blasingame,fumbles,1,1
WSH,DeAndre Carter,fumbles,1,0
WSH,Cole Holcomb,fumbles,0,0
