team,player,category,INT,YDS,TD
ATL,Duron Harmon,interceptions,1,0,0
BUF,Jordan Poyer,interceptions,1,18,0
CIN,Mike Hilton,interceptions,1,24,1
CIN,Eli Apple,interceptions,1,50,0
CLE,John Johnson III,interceptions,1,0,0
CLE,Denzel Ward,interceptions,1,4,0
CLE,Grant Delpit,interceptions,1,5,0
CLE,Ronnie Harrison Jr.,interceptions,1,0,0
DEN,Pat Surtain II,interceptions,2,70,1
DET,Amani Oruwariye,interceptions,1,0,0
GB,Rasul Douglas,interceptions,1,33,1
HOU,Tavierre Thomas,interceptions,1,0,0
IND,Isaiah Rodgers,interceptions,1,0,0
JAX,Tyson Campbell,interceptions,1,0,0
LAC,Derwin James Jr.,interceptions,1,5,0
MIA,Jevon Holland,interceptions,1,0,0
MIA,Nik Needham,interceptions,1,0,0
MIA,Xavien Howard,interceptions,1,16,0
MIN,Harrison Smith,interceptions,1,10,0
NE,J.C. Jackson,interceptions,1,0,0
NO,Kwon Alexander,interceptions,1,0,0
NO,Bradley Roby,interceptions,1,2,0
NYG,Tae Crowder,interceptions,1,9,0
NYG,Xavier McKinney,interceptions,1,0,0
NYG,Darnay Holmes,interceptions,1,15,0
NYJ,John Franklin-Myers,interceptions,1,32,0
PIT,Minkah Fitzpatrick,interceptions,1,18,0
SEA,Jamal Adams,interceptions,1,0,0
SF,Azeez Al-Shaair,interceptions,1,24,0
TB,Pierre Desir,interceptions,1,0,0
TB,Antoine Winfield Jr.,interceptions,1,30,0
