team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ATL,Matt Ryan,passing,190,6.6,1,1,1,19,29
BAL,Lamar Jackson,passing,165,5.2,1,4,2,20,32
BUF,Josh Allen,passing,260,9.3,4,2,2,23,28
CAR,PJ Walker,passing,87,8.7,0,1,4,5,10
CAR,Cam Newton,passing,92,4.4,0,2,1,5,21
CHI,Andy Dalton,passing,317,8.1,1,1,1,24,39
CIN,Joe Burrow,passing,190,7.9,1,1,2,20,24
CIN,Brandon Allen,passing,0,0.0,0,0,0,0,1
CLE,Baker Mayfield,passing,247,6.7,1,0,2,18,37
CLE,Jarvis Landry,passing,0,0.0,0,0,1,0,0
DAL,Dak Prescott,passing,375,8.0,2,0,1,32,47
DEN,Drew Lock,passing,26,3.7,0,1,1,4,7
DEN,Teddy Bridgewater,passing,129,7.2,1,0,0,11,18
DET,Jared Goff,passing,171,6.8,2,0,1,21,25
GB,Aaron Rodgers,passing,307,6.8,2,0,1,28,45
HOU,Tyrod Taylor,passing,158,6.1,2,1,5,17,26
IND,Carson Wentz,passing,306,7.0,3,2,3,27,44
JAX,Trevor Lawrence,passing,228,5.4,1,1,1,23,42
LAC,Justin Herbert,passing,303,6.9,2,2,3,28,44
LAR,Matthew Stafford,passing,302,7.9,3,1,2,21,38
LAR,Cooper Kupp,passing,0,0.0,0,0,0,0,1
LV,Derek Carr,passing,373,9.6,1,0,3,24,39
MIA,Tua Tagovailoa,passing,230,7.4,1,0,2,27,31
MIN,Justin Jefferson,passing,24,24.0,0,0,0,1,1
MIN,Kirk Cousins,passing,238,7.4,2,1,1,20,32
NE,Mac Jones,passing,310,9.7,2,0,2,23,32
NO,Trevor Siemian,passing,163,5.6,1,1,2,17,29
NO,Blake Gillikin,passing,0,0.0,0,0,0,0,1
NYG,Daniel Jones,passing,202,6.7,1,0,1,19,30
NYJ,Zach Wilson,passing,145,6.0,0,1,4,14,24
PHI,Jalen Hurts,passing,129,4.2,0,3,1,14,31
PIT,Ben Roethlisberger,passing,263,6.4,1,2,3,24,41
SEA,Russell Wilson,passing,247,8.0,2,0,2,20,31
SF,Jimmy Garoppolo,passing,230,8.8,1,1,2,17,26
TB,Tom Brady,passing,226,6.6,1,1,2,25,34
TEN,Ryan Tannehill,passing,93,4.4,1,1,2,11,21
WSH,Taylor Heinicke,passing,223,6.4,1,1,1,27,35
