team,player,category,YDS,AVG,TD,INT,SACKS,QBR,RTG,COMP,ATT
CLE,Bailey Zappe,passing,170,5.5,1,2,0.0,17.6,51.8,16,31
CLE,Deshaun Watson,passing,1148,5.63,5,3,0.0,24.3,81.43,137,216
CLE,Dorian Thompson-Robinson,passing,440,2.98,0,6,0.0,15.7,40.62,61,118
CLE,Jameis Winston,passing,2121,7.96,13,12,0.0,49.76,84.39,181,296
