team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,100.0,47,4,1,1,1,1
ATL,Younghoe Koo,kicking,100.0,35,3,1,1,0,0
BAL,Justin Tucker,kicking,50.0,46,4,1,2,1,1
BUF,Tyler Bass,kicking,100.0,29,9,1,1,6,6
CAR,Zane Gonzalez,kicking,100.0,49,14,4,4,2,2
CLE,Chase McLaughlin,kicking,0.0,0,1,0,0,1,1
DAL,Lirim Hajrullahu,kicking,0.0,0,5,0,0,5,5
DEN,Brandon McManus,kicking,67.0,28,7,2,3,1,1
DET,Ryan Santoso,kicking,50.0,20,4,1,2,1,2
GB,Mason Crosby,kicking,50.0,27,5,1,2,2,2
IND,Michael Badgley,kicking,100.0,37,11,3,3,2,2
JAX,Matthew Wright,kicking,50.0,56,3,1,2,0,1
KC,Harrison Butker,kicking,67.0,40,11,2,3,5,5
LAC,Dustin Hopkins,kicking,100.0,46,8,2,2,2,2
LAR,Matt Gay,kicking,100.0,37,4,1,1,1,1
LV,Daniel Carlson,kicking,0.0,0,2,0,0,2,2
MIA,Jason Sanders,kicking,100.0,31,10,3,3,1,1
MIN,Greg Joseph,kicking,100.0,46,9,2,2,3,3
NE,Nick Folk,kicking,100.0,38,9,1,1,6,6
NO,Brian Johnson,kicking,100.0,20,3,1,1,0,2
NYJ,Matt Ammendola,kicking,100.0,48,5,1,1,2,2
PHI,Jake Elliott,kicking,100.0,52,12,3,3,3,3
PIT,Chris Boswell,kicking,100.0,51,10,3,3,1,1
SF,Robbie Gould,kicking,100.0,50,7,1,1,4,4
TB,Ryan Succop,kicking,100.0,31,7,2,2,1,2
TEN,Randy Bullock,kicking,100.0,36,11,3,3,2,2
WSH,Joey Slye,kicking,100.0,46,11,3,3,2,2
