team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
ARI,Chris Streveler,passing,36,4.0,0,0,2,6,9
ARI,Colt McCoy,passing,107,5.4,0,1,2,11,20
ATL,Matt Ryan,passing,117,5.6,0,2,2,9,21
ATL,Josh Rosen,passing,14,2.3,0,1,0,1,6
BAL,Lamar Jackson,passing,238,5.5,1,1,4,26,43
BUF,Josh Allen,passing,366,13.1,2,1,2,21,28
CAR,Cam Newton,passing,8,2.0,1,0,0,3,4
CAR,PJ Walker,passing,167,5.8,0,1,0,22,29
CLE,Case Keenum,passing,81,6.8,0,0,3,8,12
CLE,Baker Mayfield,passing,73,3.5,1,1,2,11,21
DAL,Dak Prescott,passing,296,9.5,2,0,0,24,31
DAL,Ezekiel Elliott,passing,4,4.0,0,0,0,1,1
DAL,Cooper Rush,passing,17,5.7,0,0,0,3,3
DEN,Teddy Bridgewater,passing,226,6.3,0,0,1,22,36
DET,Jared Goff,passing,114,4.6,0,0,4,14,25
GB,Aaron Rodgers,passing,292,7.9,0,1,1,23,37
IND,Carson Wentz,passing,180,5.3,0,0,1,22,34
JAX,Trevor Lawrence,passing,162,4.6,0,0,3,16,35
KC,Patrick Mahomes,passing,406,8.1,5,0,0,35,50
KC,Tommy Townsend,passing,16,16.0,0,0,0,1,1
LAC,Justin Herbert,passing,195,5.7,1,1,2,20,34
LAR,Johnny Hekker,passing,2,2.0,0,0,0,1,1
LAR,Matthew Stafford,passing,243,5.9,1,2,2,26,41
LV,Derek Carr,passing,261,7.5,2,1,2,25,35
MIA,Albert Wilson,passing,0,0.0,0,0,1,0,0
MIA,Jacoby Brissett,passing,156,6.8,0,0,2,11,23
MIA,Tua Tagovailoa,passing,158,12.2,0,0,1,8,13
MIN,Kirk Cousins,passing,294,7.9,2,0,2,25,37
NE,Brian Hoyer,passing,85,28.3,1,0,0,3,3
NE,Mac Jones,passing,198,8.6,3,0,2,19,23
NO,Trevor Siemian,passing,298,8.8,2,0,4,19,34
NO,Taysom Hill,passing,11,5.5,0,0,0,2,2
NYJ,Joe Flacco,passing,47,15.7,1,0,0,3,3
NYJ,Mike White,passing,251,5.7,0,4,1,24,44
PHI,Jalen Hurts,passing,178,7.7,2,1,2,16,23
PIT,Mason Rudolph,passing,242,4.8,1,1,0,30,50
SEA,Russell Wilson,passing,161,4.0,0,2,3,20,40
SF,Jimmy Garoppolo,passing,182,9.6,2,0,1,15,19
TB,Tom Brady,passing,220,6.5,2,2,0,23,34
TEN,Ryan Tannehill,passing,213,7.9,1,0,2,19,27
WSH,Taylor Heinicke,passing,256,8.0,1,0,5,26,32
