team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,4,194,48.5,0,2,51
ATL,Dustin Colquitt,punting,4,231,57.8,1,1,66
BAL,Sam Koch,punting,8,321,40.1,0,4,53
BUF,Matt Haack,punting,2,78,39.0,0,1,41
CAR,Lachlan Edwards,punting,3,153,51.0,0,1,55
CLE,Jamie Gillan,punting,4,189,47.3,0,2,59
DAL,Bryan Anger,punting,4,190,47.5,0,0,60
DEN,Sam Martin,punting,4,212,53.0,0,0,60
DET,Jack Fox,punting,10,464,46.4,2,1,61
GB,Corey Bojorquez,punting,3,140,46.7,0,1,50
IND,Rigoberto Sanchez,punting,7,319,45.6,0,1,55
JAX,Logan Cooke,punting,7,332,47.4,0,5,59
KC,Tommy Townsend,punting,1,42,42.0,0,0,42
LAC,Ty Long,punting,5,242,48.4,0,2,59
LAR,Johnny Hekker,punting,3,124,41.3,0,0,44
LV,AJ Cole,punting,5,250,50.0,1,1,63
MIA,Michael Palardy,punting,8,348,43.5,0,2,52
MIN,Jordan Berry,punting,3,137,45.7,0,2,55
NE,Jake Bailey,punting,1,66,66.0,0,1,66
NO,Blake Gillikin,punting,5,202,40.4,1,1,43
NYJ,Braden Mann,punting,3,135,45.0,0,1,46
PHI,Arryn Siposs,punting,3,154,51.3,0,1,54
PIT,Pressley Harvin III,punting,6,280,46.7,1,3,61
SEA,Michael Dickson,punting,6,274,45.7,0,4,61
SF,Mitch Wishnowsky,punting,3,127,42.3,0,1,46
TB,Bradley Pinion,punting,3,124,41.3,0,2,46
TEN,Brett Kern,punting,5,205,41.0,0,1,46
WSH,Tress Way,punting,2,89,44.5,0,0,45
