team,player,category,YDS,AVG,TD,INT,SACKS,QBR,RTG,COMP,ATT
TEN,Brandon Allen,passing,72,2.4,0,1,0.0,9.9,47.9,17,30
TEN,Cam Ward,passing,3169,6.46,15,7,0.0,35.88,81.69,323,540
