week,user_team,matchup,home_away
1,ARI,WSH,away
2,ARI,NYG,home
3,ARI,DAL,home
4,ARI,SF,away
5,ARI,CIN,home
6,ARI,LAR,away
7,ARI,SEA,away
8,ARI,BAL,home
9,ARI,CLE,away
10,ARI,ATL,home
11,ARI,HOU,away
12,ARI,LAR,home
13,ARI,PIT,away
14,ARI,BYE,BYE
15,ARI,SF,home
16,ARI,CHI,away
17,ARI,PHI,away
18,ARI,SEA,home
1,ATL,CAR,home
2,ATL,GB,home
3,ATL,DET,away
4,ATL,JAX,away
5,ATL,HOU,home
6,ATL,WSH,home
7,ATL,TB,away
8,ATL,TEN,away
9,ATL,MIN,home
10,ATL,ARI,away
11,ATL,BYE,BYE
12,ATL,NO,home
13,ATL,NYJ,away
14,ATL,TB,home
15,ATL,CAR,away
16,ATL,IND,home
17,ATL,CHI,away
18,ATL,NO,away
1,BAL,HOU,home
2,BAL,CIN,away
3,BAL,IND,home
4,BAL,CLE,away
5,BAL,PIT,away
6,BAL,TEN,away
7,BAL,DET,home
8,BAL,ARI,away
9,BAL,SEA,home
10,BAL,CLE,home
11,BAL,CIN,home
12,BAL,LAC,away
13,BAL,BYE,BYE
14,BAL,LAR,home
15,BAL,JAX,away
16,BAL,SF,away
17,BAL,MIA,home
18,BAL,PIT,home
1,BUF,NYJ,away
2,BUF,LV,home
3,BUF,WSH,away
4,BUF,MIA,home
5,BUF,JAX,home
6,BUF,NYG,home
7,BUF,NE,away
8,BUF,TB,home
9,BUF,CIN,away
10,BUF,DEN,home
11,BUF,NYJ,home
12,BUF,PHI,away
13,BUF,BYE,BYE
14,BUF,KC,away
15,BUF,DAL,home
16,BUF,LAC,away
17,BUF,NE,home
18,BUF,MIA,away
1,CAR,ATL,away
2,CAR,NO,home
3,CAR,SEA,away
4,CAR,MIN,home
5,CAR,DET,away
6,CAR,MIA,away
7,CAR,BYE,BYE
8,CAR,HOU,home
9,CAR,IND,home
10,CAR,CHI,away
11,CAR,DAL,home
12,CAR,TEN,away
13,CAR,TB,away
14,CAR,NO,away
15,CAR,ATL,home
16,CAR,GB,home
17,CAR,JAX,away
18,CAR,TB,home
