week,user_team,matchup,home_away
1,ARI,KC,home
2,ARI,LV,away
3,ARI,LAR,home
4,ARI,CAR,away
5,ARI,PHI,home
6,ARI,SEA,away
7,ARI,NO,home
8,ARI,MIN,away
9,ARI,SEA,home
10,ARI,LAR,away
11,ARI,SF,home
12,ARI,LAC,home
13,ARI,BYE,BYE
14,ARI,NE,home
15,ARI,DEN,away
16,ARI,TB,home
17,ARI,ATL,away
18,ARI,SF,away
1,ATL,NO,home
2,ATL,LAR,away
3,ATL,SEA,away
4,ATL,CLE,home
5,ATL,TB,away
6,ATL,SF,home
7,ATL,CIN,away
8,ATL,CAR,home
9,ATL,LAC,home
10,ATL,CAR,away
11,ATL,CHI,home
12,ATL,WSH,away
13,ATL,PIT,home
14,ATL,BYE,BYE
15,ATL,NO,away
16,ATL,BAL,away
17,ATL,ARI,home
18,ATL,TB,home
1,BAL,NYJ,away
2,BAL,MIA,home
3,BAL,NE,away
4,BAL,BUF,home
5,BAL,CIN,home
6,BAL,NYG,away
7,BAL,CLE,home
8,BAL,TB,away
9,BAL,NO,away
10,BAL,BYE,BYE
11,BAL,CAR,home
12,BAL,JAX,away
13,BAL,DEN,home
14,BAL,PIT,away
15,BAL,CLE,away
16,BAL,ATL,home
17,BAL,PIT,home
18,BAL,CIN,away
1,BUF,LAR,away
2,BUF,TEN,home
3,BUF,MIA,away
4,BUF,BAL,away
5,BUF,PIT,home
6,BUF,KC,away
7,BUF,BYE,BYE
8,BUF,GB,home
9,BUF,NYJ,away
10,BUF,MIN,home
11,BUF,CLE,home
12,BUF,DET,away
13,BUF,NE,away
14,BUF,NYJ,home
15,BUF,MIA,home
16,BUF,CHI,away
17,BUF,CIN,away
18,BUF,NE,home
1,CAR,CLE,home
2,CAR,NYG,away
3,CAR,NO,home
4,CAR,ARI,home
5,CAR,SF,home
6,CAR,LAR,away
7,CAR,TB,home
8,CAR,ATL,away
9,CAR,CIN,away
10,CAR,ATL,home
11,CAR,BAL,away
12,CAR,DEN,home
13,CAR,BYE,BYE
14,CAR,SEA,away
15,CAR,PIT,home
16,CAR,DET,home
17,CAR,TB,away
18,CAR,NO,away
1,CHI,SF,home
2,CHI,GB,away
3,CHI,HOU,home
4,CHI,NYG,away
5,CHI,MIN,away
6,CHI,WSH,home
7,CHI,NE,away
8,CHI,DAL,away
9,CHI,MIA,home
10,CHI,DET,home
11,CHI,ATL,away
12,CHI,NYJ,away
13,CHI,GB,home
14,CHI,BYE,BYE
15,CHI,PHI,home
16,CHI,BUF,home
17,CHI,DET,away
18,CHI,MIN,home
1,CIN,PIT,home
2,CIN,DAL,away
3,CIN,NYJ,away
4,CIN,MIA,home
5,CIN,BAL,away
6,CIN,NO,away
7,CIN,ATL,home
8,CIN,CLE,away
9,CIN,CAR,home
10,CIN,BYE,BYE
11,CIN,PIT,away
12,CIN,TEN,away
13,CIN,KC,home
14,CIN,CLE,home
15,CIN,TB,away
16,CIN,NE,away
17,CIN,BUF,home
18,CIN,BAL,home
1,CLE,CAR,away
2,CLE,NYJ,home
3,CLE,PIT,home
4,CLE,ATL,away
5,CLE,LAC,home
6,CLE,NE,home
7,CLE,BAL,away
8,CLE,CIN,home
9,CLE,BYE,BYE
10,CLE,MIA,away
11,CLE,BUF,away
12,CLE,TB,home
13,CLE,HOU,away
14,CLE,CIN,away
15,CLE,BAL,home
16,CLE,NO,home
17,CLE,WSH,away
18,CLE,PIT,away
1,DAL,TB,home
2,DAL,CIN,home
3,DAL,NYG,away
4,DAL,WSH,home
5,DAL,LAR,away
6,DAL,PHI,away
7,DAL,DET,home
8,DAL,CHI,home
9,DAL,BYE,BYE
10,DAL,GB,away
11,DAL,MIN,away
12,DAL,NYG,home
13,DAL,IND,home
14,DAL,HOU,home
15,DAL,JAX,away
16,DAL,PHI,home
17,DAL,TEN,away
18,DAL,WSH,away
1,DEN,SEA,away
2,DEN,HOU,home
3,DEN,SF,home
4,DEN,LV,away
5,DEN,IND,home
6,DEN,LAC,away
7,DEN,NYJ,home
8,DEN,JAX,away
9,DEN,BYE,BYE
10,DEN,TEN,away
11,DEN,LV,home
12,DEN,CAR,away
13,DEN,BAL,away
14,DEN,KC,home
15,DEN,ARI,home
16,DEN,LAR,away
17,DEN,KC,away
18,DEN,LAC,home
1,DET,PHI,home
2,DET,WSH,home
3,DET,MIN,away
4,DET,SEA,home
5,DET,NE,away
6,DET,BYE,BYE
7,DET,DAL,away
8,DET,MIA,home
9,DET,GB,home
10,DET,CHI,away
11,DET,NYG,away
12,DET,BUF,home
13,DET,JAX,home
14,DET,MIN,home
15,DET,NYJ,away
16,DET,CAR,away
17,DET,CHI,home
18,DET,GB,away
1,GB,MIN,away
2,GB,CHI,home
3,GB,TB,away
4,GB,NE,home
5,GB,NYG,home
6,GB,NYJ,home
7,GB,WSH,away
8,GB,BUF,away
9,GB,DET,away
10,GB,DAL,home
11,GB,TEN,home
12,GB,PHI,away
13,GB,CHI,away
14,GB,BYE,BYE
15,GB,LAR,home
16,GB,MIA,away
17,GB,MIN,home
18,GB,DET,home
1,HOU,IND,home
2,HOU,DEN,away
3,HOU,CHI,away
4,HOU,LAC,home
5,HOU,JAX,away
6,HOU,BYE,BYE
7,HOU,LV,away
8,HOU,TEN,home
9,HOU,PHI,home
10,HOU,NYG,away
11,HOU,WSH,home
12,HOU,MIA,away
13,HOU,CLE,home
14,HOU,DAL,away
15,HOU,KC,home
16,HOU,TEN,away
17,HOU,JAX,home
18,HOU,IND,away
1,IND,HOU,away
2,IND,JAX,away
3,IND,KC,home
4,IND,TEN,home
5,IND,DEN,away
6,IND,JAX,home
7,IND,TEN,away
8,IND,WSH,home
9,IND,NE,away
10,IND,LV,away
11,IND,PHI,home
12,IND,PIT,home
13,IND,DAL,away
14,IND,BYE,BYE
15,IND,MIN,away
16,IND,LAC,home
17,IND,NYG,away
18,IND,HOU,home
1,JAX,WSH,away
2,JAX,IND,home
3,JAX,LAC,away
4,JAX,PHI,away
5,JAX,HOU,home
6,JAX,IND,away
7,JAX,NYG,home
8,JAX,DEN,home
