week,user_team,matchup,home_away
1,ARI,TEN,away
2,ARI,MIN,home
3,ARI,JAX,away
4,ARI,LAR,away
5,ARI,SF,home
6,ARI,CLE,away
7,ARI,HOU,home
8,ARI,GB,home
9,ARI,SF,away
10,ARI,CAR,home
11,ARI,SEA,away
12,ARI,BYE,BYE
13,ARI,CHI,away
14,ARI,LAR,home
15,ARI,DET,away
16,ARI,IND,home
17,ARI,DAL,away
18,ARI,SEA,home
1,ATL,PHI,home
2,ATL,TB,away
3,ATL,NYG,away
4,ATL,WSH,home
5,ATL,NYJ,home
6,ATL,BYE,BYE
7,ATL,MIA,away
8,ATL,CAR,home
9,ATL,NO,away
10,ATL,DAL,away
11,ATL,NE,home
12,ATL,JAX,away
13,ATL,TB,home
14,ATL,CAR,away
15,ATL,SF,away
16,ATL,DET,home
17,ATL,BUF,away
18,ATL,NO,home
1,BAL,LV,away
2,BAL,KC,home
3,BAL,DET,away
4,BAL,DEN,away
5,BAL,IND,home
6,BAL,LAC,home
7,BAL,CIN,home
8,BAL,BYE,BYE
9,BAL,MIN,home
10,BAL,MIA,away
11,BAL,CHI,away
12,BAL,CLE,home
13,BAL,PIT,away
14,BAL,CLE,away
15,BAL,GB,home
16,BAL,CIN,away
17,BAL,LAR,home
18,BAL,PIT,home
1,BUF,PIT,home
2,BUF,MIA,away
3,BUF,WSH,home
4,BUF,HOU,home
5,BUF,KC,away
6,BUF,TEN,away
7,BUF,BYE,BYE
8,BUF,MIA,home
9,BUF,JAX,away
10,BUF,NYJ,away
11,BUF,IND,home
12,BUF,NO,away
13,BUF,NE,home
14,BUF,TB,away
15,BUF,CAR,home
16,BUF,NE,away
17,BUF,ATL,home
18,BUF,NYJ,home
1,CAR,NYJ,home
2,CAR,NO,home
3,CAR,HOU,away
4,CAR,DAL,away
5,CAR,PHI,home
6,CAR,MIN,home
7,CAR,NYG,away
8,CAR,ATL,away
9,CAR,NE,home
10,CAR,ARI,away
11,CAR,WSH,home
12,CAR,MIA,away
13,CAR,BYE,BYE
14,CAR,ATL,home
15,CAR,BUF,away
16,CAR,TB,home
17,CAR,NO,away
18,CAR,TB,away
1,CHI,LAR,away
2,CHI,CIN,home
3,CHI,CLE,away
4,CHI,DET,home
5,CHI,LV,away
6,CHI,GB,home
7,CHI,TB,away
8,CHI,SF,home
9,CHI,PIT,away
10,CHI,BYE,BYE
11,CHI,BAL,home
12,CHI,DET,away
13,CHI,ARI,home
14,CHI,GB,away
15,CHI,MIN,home
16,CHI,SEA,away
17,CHI,NYG,home
18,CHI,MIN,away
1,CIN,MIN,home
2,CIN,CHI,away
3,CIN,PIT,away
4,CIN,JAX,home
5,CIN,GB,home
6,CIN,DET,away
7,CIN,BAL,away
8,CIN,NYJ,away
9,CIN,CLE,home
10,CIN,BYE,BYE
11,CIN,LV,away
12,CIN,PIT,home
13,CIN,LAC,home
14,CIN,SF,home
15,CIN,DEN,away
16,CIN,BAL,home
17,CIN,KC,home
18,CIN,CLE,away
1,CLE,KC,away
2,CLE,HOU,home
3,CLE,CHI,home
4,CLE,MIN,away
5,CLE,LAC,away
6,CLE,ARI,home
7,CLE,DEN,home
8,CLE,PIT,home
9,CLE,CIN,away
10,CLE,NE,away
11,CLE,DET,home
12,CLE,BAL,away
13,CLE,BYE,BYE
14,CLE,BAL,home
15,CLE,LV,home
16,CLE,GB,away
17,CLE,PIT,away
18,CLE,CIN,home
1,DAL,TB,away
2,DAL,LAC,away
3,DAL,PHI,home
4,DAL,CAR,home
5,DAL,NYG,home
6,DAL,NE,away
7,DAL,BYE,BYE
8,DAL,MIN,away
9,DAL,DEN,home
10,DAL,ATL,home
11,DAL,KC,away
12,DAL,LV,home
13,DAL,NO,away
14,DAL,WSH,away
15,DAL,NYG,away
16,DAL,WSH,home
17,DAL,ARI,home
18,DAL,PHI,away
1,DEN,NYG,away
2,DEN,JAX,away
3,DEN,NYJ,home
4,DEN,BAL,home
5,DEN,PIT,away
6,DEN,LV,home
7,DEN,CLE,away
8,DEN,WSH,home
9,DEN,DAL,away
10,DEN,PHI,home
11,DEN,BYE,BYE
12,DEN,LAC,home
13,DEN,KC,away
14,DEN,DET,home
15,DEN,CIN,home
16,DEN,LV,away
17,DEN,LAC,away
18,DEN,KC,home
1,DET,SF,home
2,DET,GB,away
3,DET,BAL,home
