week,user_team,matchup,home_away
1,ARI,LAC,away
2,ARI,SEA,home
3,ARI,SF,away
4,ARI,NYG,away
5,ARI,DET,home
6,ARI,LAR,away
7,ARI,DEN,home
8,ARI,DAL,away
9,ARI,SEA,away
10,ARI,LAR,home
11,ARI,KC,away
12,ARI,WSH,home
13,ARI,PHI,home
14,ARI,BYE,BYE
15,ARI,NYJ,home
16,ARI,NO,away
17,ARI,LV,home
18,ARI,SF,home
1,ATL,PIT,away
2,ATL,CAR,home
3,ATL,GB,away
4,ATL,NO,away
5,ATL,BAL,home
6,ATL,CHI,home
7,ATL,SF,home
8,ATL,TB,away
9,ATL,CIN,home
10,ATL,KC,home
11,ATL,BYE,BYE
12,ATL,MIN,away
13,ATL,DET,home
14,ATL,CLE,away
15,ATL,WSH,away
16,ATL,TB,home
17,ATL,NO,home
18,ATL,CAR,away
1,BAL,IND,away
2,BAL,NO,home
3,BAL,DAL,away
4,BAL,TEN,home
5,BAL,ATL,away
6,BAL,CLE,away
7,BAL,CIN,home
8,BAL,BUF,away
9,BAL,JAX,home
10,BAL,LAC,home
11,BAL,CAR,away
12,BAL,HOU,away
13,BAL,BYE,BYE
14,BAL,TB,home
15,BAL,PIT,away
16,BAL,CLE,home
17,BAL,CIN,away
18,BAL,PIT,home
1,BUF,HOU,away
2,BUF,DET,home
3,BUF,LAC,home
4,BUF,NE,home
5,BUF,LAR,away
6,BUF,LV,away
7,BUF,BYE,BYE
8,BUF,BAL,home
9,BUF,MIN,away
10,BUF,NYJ,away
11,BUF,MIA,home
12,BUF,KC,home
13,BUF,NE,away
14,BUF,GB,away
15,BUF,CHI,home
16,BUF,DEN,away
17,BUF,MIA,away
18,BUF,NYJ,home
1,CAR,CHI,home
2,CAR,ATL,away
3,CAR,CLE,away
4,CAR,DET,home
5,CAR,BYE,BYE
6,CAR,PHI,away
7,CAR,TB,home
8,CAR,GB,away
9,CAR,DEN,home
10,CAR,NO,away
11,CAR,BAL,home
12,CAR,TB,away
13,CAR,MIN,away
14,CAR,NO,home
15,CAR,CIN,home
16,CAR,PIT,away
17,CAR,SEA,home
18,CAR,ATL,home
1,CHI,CAR,away
2,CHI,MIN,home
3,CHI,PHI,home
4,CHI,NYJ,home
5,CHI,GB,away
6,CHI,ATL,away
7,CHI,NE,home
8,CHI,SEA,away
9,CHI,TB,home
10,CHI,BYE,BYE
11,CHI,NO,home
12,CHI,DET,away
13,CHI,JAX,home
14,CHI,MIA,away
15,CHI,BUF,away
16,CHI,GB,home
17,CHI,DET,home
18,CHI,MIN,away
1,CIN,TB,home
2,CIN,HOU,away
3,CIN,PIT,away
4,CIN,JAX,home
5,CIN,MIA,away
6,CIN,BYE,BYE
7,CIN,BAL,away
8,CIN,TEN,home
9,CIN,ATL,away
10,CIN,PIT,home
11,CIN,WSH,away
12,CIN,NO,home
13,CIN,CLE,away
14,CIN,KC,home
15,CIN,CAR,away
16,CIN,IND,away
17,CIN,BAL,home
18,CIN,CLE,home
1,CLE,JAX,away
2,CLE,TB,away
3,CLE,CAR,home
4,CLE,PIT,home
5,CLE,NYJ,away
6,CLE,BAL,home
7,CLE,TEN,away
8,CLE,PIT,away
9,CLE,NO,away
10,CLE,HOU,home
11,CLE,BYE,BYE
12,CLE,LV,home
13,CLE,CIN,home
14,CLE,ATL,home
15,CLE,NYG,away
16,CLE,BAL,away
17,CLE,IND,home
18,CLE,CIN,away
1,DAL,NYG,away
2,DAL,WSH,home
3,DAL,BAL,home
4,DAL,HOU,away
5,DAL,TB,home
6,DAL,GB,away
7,DAL,PHI,away
8,DAL,ARI,home
9,DAL,IND,away
10,DAL,SF,home
11,DAL,TEN,home
12,DAL,PHI,home
13,DAL,SEA,away
14,DAL,BYE,BYE
15,DAL,LAR,away
16,DAL,JAX,home
17,DAL,NYG,home
18,DAL,WSH,away
1,DEN,KC,away
2,DEN,JAX,home
3,DEN,LAR,home
4,DEN,SF,away
5,DEN,LAC,away
6,DEN,SEA,home
7,DEN,ARI,away
8,DEN,KC,home
9,DEN,CAR,away
10,DEN,BYE,BYE
11,DEN,LV,home
12,DEN,PIT,away
13,DEN,MIA,home
14,DEN,NYJ,away
15,DEN,LV,away
16,DEN,BUF,home
17,DEN,NE,away
18,DEN,LAC,home
1,DET,NO,home
2,DET,BUF,away
3,DET,NYJ,home
4,DET,CAR,away
5,DET,ARI,away
6,DET,BYE,BYE
7,DET,GB,home
8,DET,MIN,home
9,DET,MIA,away
10,DET,NE,home
11,DET,TB,home
12,DET,CHI,home
13,DET,ATL,away
14,DET,TEN,home
15,DET,MIN,away
16,DET,NYG,home
17,DET,CHI,away
18,DET,GB,away
1,GB,MIN,away
2,GB,NYJ,away
3,GB,ATL,home
4,GB,TB,away
5,GB,CHI,home
6,GB,DAL,home
7,GB,DET,away
8,GB,CAR,home
9,GB,NE,away
10,GB,MIN,home
11,GB,BYE,BYE
12,GB,LAR,away
13,GB,NO,away
14,GB,BUF,home
15,GB,MIA,home
16,GB,CHI,away
17,GB,HOU,home
18,GB,DET,home
1,HOU,BUF,home
2,HOU,CIN,home
3,HOU,IND,away
4,HOU,DAL,home
5,HOU,TEN,away
6,HOU,JAX,away
7,HOU,NYG,home
8,HOU,BYE,BYE
9,HOU,LAC,away
10,HOU,CLE,away
11,HOU,IND,home
12,HOU,BAL,home
13,HOU,PIT,away
14,HOU,WSH,away
15,HOU,JAX,home
16,HOU,PHI,away
17,HOU,GB,away
18,HOU,TEN,home
1,IND,BAL,home
2,IND,KC,away
3,IND,HOU,home
4,IND,WSH,away
5,IND,PIT,away
6,IND,TEN,home
7,IND,MIN,away
8,IND,JAX,away
9,IND,DAL,home
10,IND,MIA,home
11,IND,HOU,away
12,IND,NYG,home
13,IND,BYE,BYE
14,IND,PHI,away
15,IND,TEN,away
16,IND,CIN,home
17,IND,CLE,away
18,IND,JAX,home
1,JAX,CLE,home
2,JAX,DEN,away
3,JAX,NE,home
4,JAX,CIN,away
5,JAX,PHI,home
6,JAX,HOU,home
7,JAX,BYE,BYE
8,JAX,IND,home
9,JAX,BAL,away
10,JAX,TEN,away
11,JAX,NYG,away
12,JAX,TEN,home
13,JAX,CHI,away
14,JAX,PIT,home
15,JAX,HOU,away
16,JAX,DAL,away
