team,player,category,YDS,AVG,TD,INT,SACKS,QBR,RTG,COMP,ATT
NO,Cedrick Wilson Jr.,passing,21,10.5,1,0,0.0,50.25,79.15,1,1
NO,Derek Carr,passing,2145,8.18,15,5,0.0,60.3,102.64,189,279
NO,Jake Haener,passing,226,4.0,1,1,0.0,28.08,52.55,18,39
NO,Spencer Rattler,passing,1317,5.83,4,5,0.0,38.94,70.6,130,228
NO,Taysom Hill,passing,21,4.0,0,1,0.0,83.9,53.5,2,4
