team,player,category,CAR,YDS,AVG,TD,LONG
NO,Alvin Kamara,rushing,228,950,3.92,6,24
NO,Chris Olave,rushing,1,7,7.0,0,7
NO,Clyde Edwards-Helaire,rushing,13,46,3.65,0,12
NO,Derek Carr,rushing,17,71,4.38,1,13
NO,Jake Haener,rushing,11,22,2.42,0,9
NO,Jamaal Williams,rushing,48,164,3.26,1,14
NO,Jermaine Jackson,rushing,1,-1,-1.0,0,-1
NO,Jordan Mims,rushing,20,70,3.84,0,9
NO,Kendre Miller,rushing,39,148,3.75,1,17
NO,Kevin Austin Jr.,rushing,1,9,9.0,0,9
NO,Marquez Valdes-Scantling,rushing,1,4,4.0,0,4
NO,Matthew Hayball,rushing,1,11,11.0,0,11
NO,Rashid Shaheed,rushing,6,29,4.43,0,13
NO,Spencer Rattler,rushing,18,146,9.1,0,28
NO,Taysom Hill,rushing,39,278,6.38,6,75
