week,opponent,result
1,ATL,LOSS
2,NO,LOSS
3,SEA,LOSS
4,MIN,LOSS
5,DET,LOSS
6,MIA,LOSS
7,BYE,BYE
8,HOU,WIN
9,IND,LOSS
10,CHI,LOSS
11,DAL,LOSS
12,TEN,LOSS
13,TB,LOSS
14,NO,LOSS
15,ATL,WIN
16,GB,LOSS
17,JAX,LOSS
18,TB,LOSS
