team,player,category,CAR,YDS,AVG,TD,LONG
MIA,Alec Ingold,rushing,6,8,1.33,1,2
MIA,Cedrick Wilson Jr.,rushing,1,8,8.0,0,8
MIA,Chase Edmonds,rushing,42,120,2.72,2,28
MIA,Clayton Fejedelem,rushing,1,0,0.0,0,0
MIA,Durham Smythe,rushing,2,1,0.5,1,1
MIA,Jaylen Waddle,rushing,3,26,8.67,0,9
MIA,Jeff Wilson Jr.,rushing,84,392,4.6,3,28
MIA,Myles Gaskin,rushing,10,26,2.55,0,10
MIA,Raheem Mostert,rushing,181,891,4.69,3,67
MIA,Salvon Ahmed,rushing,12,64,4.18,1,11
MIA,Skylar Thompson,rushing,14,21,2.96,0,9
MIA,Teddy Bridgewater,rushing,3,27,9.0,0,11
MIA,Tua Tagovailoa,rushing,24,70,2.49,0,18
MIA,Tyreek Hill,rushing,7,32,4.25,1,10
