week,opponent,result
1,LAR,LOSS
2,CIN,WIN
3,CLE,LOSS
4,DET,WIN
5,LV,WIN
6,GB,LOSS
7,TB,LOSS
8,SF,LOSS
9,PIT,LOSS
10,BYE,BYE
11,BAL,LOSS
12,DET,WIN
13,ARI,LOSS
14,GB,LOSS
15,MIN,LOSS
16,SEA,WIN
17,NYG,WIN
18,MIN,LOSS
