team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,5,228,45.6,0,0,60
ATL,Bradley Pinion,punting,2,91,45.5,0,2,55
BAL,Jordan Stout,punting,3,121,40.3,0,2,55
BUF,Sam Martin,punting,4,171,42.8,0,3,54
CAR,Johnny Hekker,punting,6,282,47.0,1,2,58
CHI,Trenton Gill,punting,3,137,45.7,1,1,56
CIN,Brad Robbins,punting,6,251,41.8,1,1,44
CLE,Corey Bojorquez,punting,3,181,60.3,2,0,72
DAL,Bryan Anger,punting,3,158,52.7,0,2,59
DEN,Riley Dixon,punting,5,226,45.2,0,1,50
DET,Jack Fox,punting,2,83,41.5,0,1,45
GB,Daniel Whelan,punting,4,152,38.0,0,4,46
HOU,Cameron Johnston,punting,4,192,48.0,0,2,53
IND,Rigoberto Sanchez,punting,2,94,47.0,0,0,53
JAX,Logan Cooke,punting,2,77,38.5,0,2,42
KC,Tommy Townsend,punting,4,211,52.8,0,2,57
LAC,JK Scott,punting,3,156,52.0,0,1,57
LAR,Ethan Evans,punting,2,73,36.5,1,1,41
LV,AJ Cole,punting,3,117,39.0,0,1,51
MIA,Jake Bailey,punting,1,40,40.0,0,0,40
MIN,Ryan Wright,punting,3,116,38.7,0,1,47
NE,Bryce Baringer,punting,6,270,45.0,0,2,54
NO,Lou Hedley,punting,1,46,46.0,0,0,46
NYG,Jamie Gillan,punting,8,363,45.4,1,4,74
NYJ,Thomas Morstead,punting,6,317,52.8,0,3,61
PHI,Braden Mann,punting,5,269,53.8,0,1,59
PIT,Pressley Harvin III,punting,4,172,43.0,2,2,59
SEA,Michael Dickson,punting,5,231,46.2,0,1,59
SF,Mitch Wishnowsky,punting,5,199,39.8,0,3,51
TB,Jake Camarda,punting,4,208,52.0,2,1,63
TEN,Ryan Stonehouse,punting,7,376,53.7,2,5,71
WSH,Tress Way,punting,3,119,39.7,0,3,57
