team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,0.0,0,0,0,1,0,0
ATL,Younghoe Koo,kicking,100.0,39,6,1,1,3,3
BAL,Justin Tucker,kicking,67.0,48,8,2,3,2,2
BUF,Tyler Bass,kicking,50.0,48,10,2,4,4,4
CAR,Eddy Pineiro,kicking,100.0,50,4,1,1,1,1
CHI,Cairo Santos,kicking,80.0,55,12,4,5,0,0
CIN,Evan McPherson,kicking,100.0,47,4,1,1,1,1
CLE,Dustin Hopkins,kicking,100.0,36,6,2,2,0,0
DAL,Brandon Aubrey,kicking,100.0,52,7,1,1,4,5
DEN,Wil Lutz,kicking,100.0,34,9,2,2,3,3
DET,Riley Patterson,kicking,0.0,0,0,0,0,0,1
GB,Anders Carlson,kicking,50.0,43,5,1,2,2,3
HOU,Matt Ammendola,kicking,0.0,0,3,0,2,3,3
IND,Matt Gay,kicking,67.0,46,9,2,3,3,3
JAX,Brandon McManus,kicking,75.0,53,10,3,4,1,1
KC,Harrison Butker,kicking,100.0,32,7,1,1,4,4
LAC,Cameron Dicker,kicking,100.0,39,4,1,1,1,1
LAR,Lucas Havrisik,kicking,50.0,24,7,1,2,4,5
LV,Daniel Carlson,kicking,50.0,34,5,1,2,2,2
MIA,Jason Sanders,kicking,100.0,54,10,2,2,4,4
MIN,Greg Joseph,kicking,100.0,34,4,1,1,1,1
NE,Chad Ryland,kicking,0.0,0,1,0,1,1,1
NO,Blake Grupe,kicking,83.0,52,15,5,6,0,0
NYG,Randy Bullock,kicking,100.0,42,4,1,1,1,1
NYJ,Greg Zuerlein,kicking,0.0,0,1,0,0,1,2
PHI,Jake Elliott,kicking,100.0,59,7,1,1,4,4
PIT,Chris Boswell,kicking,100.0,41,10,3,3,1,1
SEA,Jason Myers,kicking,67.0,51,7,2,3,1,1
SF,Jake Moody,kicking,100.0,32,7,1,1,4,4
TB,Chase McLaughlin,kicking,100.0,24,8,2,2,2,2
TEN,Nick Folk,kicking,100.0,53,5,1,1,2,2
WSH,Joey Slye,kicking,100.0,43,4,1,1,1,1
