team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Pat O'Donnell,punting,2,87,43.5,0,0,47
ATL,Bradley Pinion,punting,5,217,43.4,0,2,46
BAL,Jordan Stout,punting,6,336,56.0,1,4,64
BUF,Mitch Wishnowsky,punting,3,126,42.0,0,2,49
CAR,Sam Martin,punting,3,134,44.7,0,1,51
CHI,Tory Taylor,punting,2,117,58.5,0,1,69
CIN,Ryan Rehkow,punting,1,53,53.0,0,1,53
DAL,Bryan Anger,punting,1,41,41.0,0,0,41
DEN,Jeremy Crawshaw,punting,8,428,53.5,1,2,76
DET,Jack Fox,punting,5,238,47.6,0,2,58
HOU,Tommy Townsend,punting,8,420,52.5,2,2,73
IND,Rigoberto Sanchez,punting,2,110,55.0,0,1,57
JAX,Logan Cooke,punting,2,73,36.5,0,1,41
KC,Matt Araiza,punting,3,146,48.7,0,1,60
LAC,JK Scott,punting,4,209,52.3,0,0,60
LAR,Ethan Evans,punting,2,100,50.0,0,1,50
LV,AJ Cole,punting,1,56,56.0,0,1,56
MIA,Jake Bailey,punting,3,128,42.7,0,1,47
MIN,Ryan Wright,punting,4,176,44.0,0,2,51
NE,Bryce Baringer,punting,3,150,50.0,0,2,61
NO,Kai Kroeger,punting,4,184,46.0,0,2,49
NYG,Jamie Gillan,punting,5,233,46.6,1,1,60
PIT,Corliss Waitman,punting,5,252,50.4,0,2,67
SEA,Michael Dickson,punting,3,155,51.7,0,1,58
SF,Thomas Morstead,punting,2,87,43.5,0,1,50
TEN,Johnny Hekker,punting,5,187,37.4,0,2,41
WSH,Tress Way,punting,4,191,47.8,0,4,63
