team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,4,192,48.0,0,1,62
ATL,Bradley Pinion,punting,3,132,44.0,0,2,46
BAL,Jordan Stout,punting,4,177,44.3,0,3,54
BUF,Sam Martin,punting,6,289,48.2,1,2,59
CAR,Johnny Hekker,punting,2,102,51.0,0,1,55
CHI,Tory Taylor,punting,5,277,55.4,1,3,66
CIN,Ryan Rehkow,punting,3,170,56.7,0,2,63
CLE,Corey Bojorquez,punting,5,316,63.2,2,1,84
DAL,Bryan Anger,punting,3,165,55.0,1,1,60
DEN,Riley Dixon,punting,8,339,42.4,0,3,54
DET,Jack Fox,punting,3,140,46.7,0,0,50
GB,Daniel Whelan,punting,3,180,60.0,0,2,74
HOU,Tommy Townsend,punting,6,263,43.8,0,4,50
IND,Rigoberto Sanchez,punting,4,170,42.5,0,2,58
JAX,Logan Cooke,punting,5,253,50.6,0,1,58
KC,Matt Araiza,punting,4,200,50.0,0,4,53
LAC,JK Scott,punting,6,318,53.0,0,1,59
LAR,Ethan Evans,punting,1,67,67.0,0,0,67
LV,AJ Cole,punting,4,232,58.0,0,2,67
MIA,Jake Bailey,punting,5,238,47.6,0,0,57
MIN,Ryan Wright,punting,5,225,45.0,1,3,53
NE,Bryce Baringer,punting,4,196,49.0,0,4,61
NO,Matthew Hayball,punting,3,120,40.0,0,3,48
NYG,Jamie Gillan,punting,1,44,44.0,0,1,44
NYJ,Thomas Morstead,punting,7,316,45.1,0,3,56
PHI,Braden Mann,punting,5,282,56.4,1,0,70
PIT,Corliss Waitman,punting,3,103,34.3,0,2,40
SEA,Michael Dickson,punting,3,133,44.3,1,2,54
SF,Mitch Wishnowsky,punting,3,133,44.3,0,0,47
TB,Trenton Gill,punting,4,150,37.5,0,1,42
TEN,Ryan Stonehouse,punting,5,209,41.8,1,2,64
WSH,Tress Way,punting,1,51,51.0,0,0,51
