team,player,category,INT,YDS,TD
ARI,Garrett Williams,interceptions,1,0,0
ATL,Troy Andersen,interceptions,1,47,1
CAR,Xavier Woods,interceptions,1,33,0
CHI,Jaquan Brisker,interceptions,1,0,0
CIN,Vonn Bell,interceptions,1,32,0
DAL,Amani Oruwariye,interceptions,1,0,0
DET,Kerby Joseph,interceptions,1,0,0
GB,Xavier McKinney,interceptions,1,0,0
LAC,Kristian Fulton,interceptions,1,29,0
LV,Tre'von Moehrig,interceptions,1,16,0
MIA,Emmanuel Ogbah,interceptions,1,0,0
MIN,Byron Murphy Jr.,interceptions,1,0,0
MIN,Shaquill Griffin,interceptions,1,28,0
MIN,Kamu Grugier-Hill,interceptions,1,0,0
NE,Jabrill Peppers,interceptions,1,0,0
NO,Paulson Adebo,interceptions,1,1,0
SF,Fred Warner,interceptions,1,45,1
