team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
NYJ,Austin Seibert,kicking,100.0,34,4,1,1,1,1
NYJ,Greg Zuerlein,kicking,85.14,55,120,35,38,15,16
