team,player,category,FUM,LOST
NYJ,Ashtyn Davis,fumbles,1,1
NYJ,Breece Hall,fumbles,2,0
NYJ,Bryce Hall,fumbles,0,0
NYJ,C.J. Mosley,fumbles,0,0
NYJ,Carter Warren,fumbles,0,0
NYJ,Chris Glaser,fumbles,1,0
NYJ,Dalvin Cook,fumbles,2,2
NYJ,Garrett Wilson,fumbles,2,2
NYJ,Israel Abanikanda,fumbles,1,1
NYJ,Jermaine Johnson II,fumbles,0,0
NYJ,Laken Tomlinson,fumbles,0,0
NYJ,Mekhi Becton,fumbles,0,0
NYJ,Quincy Williams,fumbles,0,0
NYJ,Quinnen Williams,fumbles,0,0
NYJ,Quinton Jefferson,fumbles,0,0
NYJ,Sam Eguavoen,fumbles,0,0
NYJ,Tim Boyle,fumbles,2,0
NYJ,Trevor Siemian,fumbles,5,3
NYJ,Will McDonald IV,fumbles,0,0
NYJ,Xavier Gipson,fumbles,5,2
NYJ,Xavier Newman,fumbles,0,0
NYJ,Zach Wilson,fumbles,11,7
