team,player,category,YDS,AVG,TD,INT,SACKS,COMP,ATT
TEN,Derrick Henry,passing,4,2.0,1,0,0,2,2
TEN,Joshua Dobbs,passing,411,6.05,2,2,6,40,68
TEN,Malik Willis,passing,276,4.22,0,3,10,31,61
TEN,Ryan Tannehill,passing,2536,7.72,13,6,33,212,325
