team,player,category,CAR,YDS,AVG,TD,LONG
JAX,Andrew Wingard,rushing,1,4,4.0,0,4
JAX,C.J. Beathard,rushing,1,2,2.0,0,2
JAX,Carlos Hyde,rushing,72,253,3.27,1,18
JAX,Dare Ogunbowale,rushing,43,137,2.59,1,12
JAX,Jamal Agnew,rushing,7,111,11.66,1,66
JAX,James Robinson,rushing,164,767,4.36,8,58
JAX,Laviska Shenault Jr.,rushing,11,41,4.66,0,11
JAX,Mekhi Sargent,rushing,1,2,2.0,0,2
JAX,Nathan Cottrell,rushing,1,3,3.0,0,3
JAX,Ryquell Armstead,rushing,15,80,5.25,0,26
JAX,Tavon Austin,rushing,3,21,7.0,0,8
JAX,Trevor Lawrence,rushing,73,334,4.63,2,26
