week,opponent,result
1,TB,LOSS
2,MIN,WIN
3,CAR,LOSS
4,WSH,WIN
6,BUF,WIN
7,SF,LOSS
8,MIA,LOSS
9,NE,LOSS
10,IND,LOSS
11,CAR,LOSS
12,NO,WIN
13,NYJ,LOSS
14,SEA,LOSS
15,TB,WIN
16,ARI,WIN
17,LAR,WIN
18,NO,WIN
