team,player,category,PCT,LONG,PTS,FG_MADE,FG_ATT,EX_MADE,EX_ATT
ARI,Matt Prater,kicking,50.0,21,5,1,2,2,2
ATL,Younghoe Koo,kicking,100.0,52,9,2,2,3,3
BAL,Justin Tucker,kicking,100.0,23,3,1,1,0,0
BUF,Tyler Bass,kicking,100.0,30,8,1,1,5,5
CAR,Zane Gonzalez,kicking,100.0,50,10,3,3,1,1
CHI,Cairo Santos,kicking,100.0,46,8,2,2,2,2
CIN,Evan McPherson,kicking,0.0,0,2,0,2,2,2
CLE,Chase McLaughlin,kicking,100.0,35,10,2,2,4,4
DAL,Greg Zuerlein,kicking,100.0,38,14,3,3,5,5
DEN,Brandon McManus,kicking,100.0,39,7,2,2,1,1
DET,Austin Seibert,kicking,100.0,52,9,3,3,0,0
GB,Mason Crosby,kicking,57.0,49,13,4,7,1,2
HOU,Ka'imi Fairbairn,kicking,50.0,33,4,1,2,1,3
IND,Rodrigo Blankenship,kicking,50.0,43,7,2,4,1,2
JAX,Matthew Wright,kicking,0.0,0,1,0,1,1,2
KC,Harrison Butker,kicking,100.0,54,8,2,2,2,2
LAC,Tristan Vizcaino,kicking,0.0,0,3,0,0,3,5
LAR,Matt Gay,kicking,100.0,47,8,2,2,2,3
LV,Daniel Carlson,kicking,100.0,31,3,1,1,0,0
MIA,Jason Sanders,kicking,100.0,23,5,1,1,2,2
MIN,Greg Joseph,kicking,80.0,55,13,4,5,1,1
NE,Nick Folk,kicking,100.0,52,13,4,4,1,2
NO,Cody Parkey,kicking,0.0,0,3,0,0,3,5
NYG,Graham Gano,kicking,67.0,51,8,2,3,2,2
NYJ,Matt Ammendola,kicking,100.0,49,6,2,2,0,1
PHI,Jake Elliott,kicking,100.0,58,7,2,2,1,1
PIT,Chris Boswell,kicking,100.0,48,9,2,2,3,3
SEA,Jason Myers,kicking,50.0,32,5,1,2,2,2
SF,Joey Slye,kicking,100.0,47,4,1,1,1,1
TB,Ryan Succop,kicking,100.0,42,9,1,1,6,6
TB,Bradley Pinion,kicking,0.0,0,0,0,1,0,0
TEN,Randy Bullock,kicking,100.0,34,7,1,1,4,5
WSH,Dustin Hopkins,kicking,100.0,45,10,3,3,1,1
