team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Andy Lee,punting,4,205,51.3,1,1,56
ATL,Dustin Colquitt,punting,2,56,28.0,0,1,32
BAL,Sam Koch,punting,4,198,49.5,0,2,53
BUF,Matt Haack,punting,4,160,40.0,1,1,48
CAR,Joseph Charlton,punting,5,189,37.8,0,3,44
CAR,Zane Gonzalez,punting,1,40,40.0,1,0,40
CHI,Pat O'Donnell,punting,5,234,46.8,0,2,53
CIN,Kevin Huber,punting,5,194,38.8,1,2,46
CLE,Jamie Gillan,punting,3,134,44.7,1,0,53
DAL,Bryan Anger,punting,1,61,61.0,0,1,61
DEN,Sam Martin,punting,4,176,44.0,0,4,52
DET,Jack Fox,punting,4,204,51.0,1,2,67
GB,Corey Bojorquez,punting,2,67,33.5,0,1,36
HOU,Cameron Johnston,punting,3,99,33.0,0,1,54
IND,Rigoberto Sanchez,punting,2,90,45.0,0,1,52
JAX,Logan Cooke,punting,2,80,40.0,0,0,42
KC,Tommy Townsend,punting,2,88,44.0,0,1,46
LAC,Ty Long,punting,3,159,53.0,0,1,63
LAR,Johnny Hekker,punting,5,232,46.4,0,4,54
LV,AJ Cole,punting,4,224,56.0,0,3,70
MIA,Michael Palardy,punting,4,154,38.5,0,1,44
MIN,Jordan Berry,punting,3,150,50.0,0,1,54
NE,Jake Bailey,punting,1,58,58.0,0,0,58
NO,Blake Gillikin,punting,5,268,53.6,0,3,60
NYG,Riley Dixon,punting,2,90,45.0,0,0,50
NYJ,Thomas Morstead,punting,4,205,51.3,0,2,59
PHI,Arryn Siposs,punting,6,276,46.0,0,1,64
PIT,Pressley Harvin III,punting,2,119,59.5,0,0,63
SEA,Michael Dickson,punting,4,202,50.5,0,4,68
SF,Mitch Wishnowsky,punting,2,97,48.5,0,1,58
TB,Bradley Pinion,punting,1,41,41.0,0,1,41
TEN,Johnny Townsend,punting,4,170,42.5,1,1,45
WSH,Tress Way,punting,3,154,51.3,0,0,56
