team,player,category,INT,YDS,TD
ATL,Jessie Bates III,interceptions,1,0,0
ATL,A.J. Terrell Jr.,interceptions,1,0,0
BUF,Austin Johnson,interceptions,1,5,0
DEN,Ja'Quan McMillian,interceptions,1,0,0
DEN,Pat Surtain II,interceptions,1,28,0
DET,Kerby Joseph,interceptions,1,33,0
DET,Trevor Nowaske,interceptions,1,8,0
GB,Xavier McKinney,interceptions,1,0,0
HOU,Jalen Pitre,interceptions,1,10,0
JAX,Jarrian Jones,interceptions,1,0,0
LV,Tre'von Moehrig,interceptions,1,12,0
MIN,Byron Murphy Jr.,interceptions,1,0,0
PHI,C.J. Gardner-Johnson,interceptions,1,0,0
PIT,Beanie Bishop,interceptions,1,5,0
SEA,Josh Jobe,interceptions,1,33,0
SF,Ji'Ayir Brown,interceptions,1,0,0
SF,Deommodore Lenoir,interceptions,1,0,0
