team,player,category,NO,YDS,AVG,TB,In 20,LONG
ARI,Blake Gillikin,punting,3,160,53.3,0,2,60
ATL,Bradley Pinion,punting,3,128,42.7,0,1,46
BAL,Jordan Stout,punting,4,209,52.3,0,1,64
BUF,Sam Martin,punting,3,147,49.0,0,1,58
CAR,Johnny Hekker,punting,5,247,49.4,0,1,53
CHI,Tory Taylor,punting,7,341,48.7,0,5,68
CLE,Corey Bojorquez,punting,3,146,48.7,0,2,58
DAL,Bryan Anger,punting,4,194,48.5,0,3,59
DEN,Riley Dixon,punting,3,153,51.0,1,2,60
DET,Jack Fox,punting,5,305,61.0,0,3,67
GB,Daniel Whelan,punting,5,241,48.2,0,3,63
HOU,Tommy Townsend,punting,6,257,42.8,0,5,53
IND,Rigoberto Sanchez,punting,6,283,47.2,0,2,57
JAX,Logan Cooke,punting,5,298,59.6,2,2,73
KC,Matt Araiza,punting,2,93,46.5,0,1,51
LAC,JK Scott,punting,6,344,57.3,0,3,67
LAR,Ethan Evans,punting,3,128,42.7,0,2,45
LV,AJ Cole,punting,2,128,64.0,1,1,68
MIA,Jake Bailey,punting,2,92,46.0,1,1,56
MIN,Ryan Wright,punting,3,151,50.3,0,3,61
NE,Bryce Baringer,punting,5,236,47.2,0,1,55
NO,Matthew Hayball,punting,9,437,48.6,2,5,59
NYG,Matt Haack,punting,4,192,48.0,1,2,66
NYJ,Thomas Morstead,punting,4,177,44.3,1,1,52
PHI,Braden Mann,punting,1,52,52.0,1,0,52
PIT,Corliss Waitman,punting,3,131,43.7,0,2,55
SEA,Michael Dickson,punting,4,245,61.3,0,2,68
SF,Mitch Wishnowsky,punting,4,172,43.0,0,1,45
TB,Trenton Gill,punting,1,42,42.0,0,0,42
TEN,Ryan Stonehouse,punting,6,296,49.3,0,2,62
WSH,Tress Way,punting,5,214,42.8,0,2,57
