team,player,category,INT,YDS,TD
ARI,Mack Wilson Sr.,interceptions,1,9,0
ATL,DeAngelo Malone,interceptions,1,6,0
ATL,Dee Alford,interceptions,1,0,0
CHI,Jaquan Brisker,interceptions,1,32,0
CIN,Geno Stone,interceptions,1,25,0
DAL,Donovan Wilson,interceptions,1,21,0
IND,Mekhi Blackmon,interceptions,1,9,0
LAC,Derwin James Jr.,interceptions,1,21,0
LAC,Tony Jefferson,interceptions,1,2,0
LAC,Benjamin St-Juste,interceptions,1,0,0
LAR,Quentin Lake,interceptions,1,0,0
LV,Devin White,interceptions,1,0,0
NYG,Cor'Dale Flott,interceptions,1,68,0
TB,Kindle Vildor,interceptions,1,13,0
TB,Jamel Dean,interceptions,1,6,0
TEN,Cody Barton,interceptions,1,1,0
